fdc_id,description,response
421553,"VALUED NATURALS, CRANBERRY TRAIL MIX",trail mix
421554,WHOLE ALMONDS,almond
421555,"VALUED NATURALS, WHOLE ALMONDS",almond
421556,PECAN PIECES,pecan
421557,"VALUED NATURALS, ALMONDS WITH SEA SALT",almond
421558,YOGURT PRETZELS,yogurt
421559,"HAYDEN VALLEY FOODS, RASPBERRY YOGURT PRETZELS, RASPBERRY",raspberry
421560,"HAYDEN VALLEY FOODS, CHIA STICKS","chia

"
421561,"STRAUB'S, PUMPKIN SEEDS",pumpkin seed
421562,"PRALINE, NUT MIX",nut
421563,"STRAUB'S, TRAIL MIX, CRANBERRY",trail mix
421564,"STRAUB'S, DIETER'S BLEND",blend
421565,"STRAUB'S, YOGURT RAISINS",raisin
421566,"STRAUB'S, YOGURT PRETZELS",pretzel
421567,CINNAMON YOGURT PRETZELS,cinnamon
421568,"MR. FITZPATRICK'S, CORDIAL, BLACKCURRANT",blackcurrant
421569,NATURAL ENERGY BEVERAGE,water
421570,"MOTHER RUCKER'S SWEETS, COCOA COOKIE BRITTLE",cookie
421571,"SIMPLY SWEET IDEAS, CHOCOLATE CHIP COOKIE DOUGH",cookie dough
421572,"SUNGO, SPARKLING JUICE BEVERAGE, HIBISCUS WITH RASPBERRY",juice
421573,"SUNGO, SPARKLING JUICE BEVERAGE, PASSION FRUIT & ORANGE",juice
421574,"KIST, SPARKLING WATER, BLACKBERRY, RASPBERRY",water
421575,"KIST, SPARKLING WATER, STRAWBERRY WATERMELON",water
421576,TEA BISCUIT,biscuit
421577,LEMON WAFER COOKIES,wafer
421578,BAKED APPLE CRISP,apple
421579,"TREASURED HARVEST, BRAZIL NUTS",brazil nut
421580,"TREASURED HARVEST, WHOLE PECANS",pecan
421581,STRAWBERRY LICORICE,strawberry
421582,GRAPE MEMORY KOMBUCHA,kombucha
421583,"ESPEEZ, ROCK CANDY ON A STICK, LIGHT BLUE COTTON CANDY",sugar
421584,"MARICH, PREMIUM CHICKS N' BUNNIES CHOCOLATES",chocolate
421585,BEVERAGE,water
421586,"SPELT RIGHT, SPELT CHIPS",spelt
421587,"FREY, LUCKY MILK CHOCOLATE BUNNY",chocolate
421588,"SWEET WORKS, CELEBRATION, GUMBALLS",gumball
421589,"SWEETWORKS, CELEBRATION, GUMBALLS",gumball
421590,"SWEETWORKS, CELEBRATION, GUMBALLS",gumball
421591,"CELEBRATION BY SWEETWORKS, SHIMMER COLOR GUMBALLS",gumball
421592,"MOUTH PARTY, CHOCOLATE CARAMELS",caramel
421593,CARAMELS,sugar
421594,"ALMONDRA, ALMOND COOKIES, DARK CHOCOLATE",almond
421595,"ALMONDRA, ORIGINAL EMBRACE INDULGENCE ALMOND COOKIES",cookie
421596,"BOMBAY KITCHEN, CHANA DAL",chana dal
421597,PEANUT BUTTER CUPS DARK CHOCOLATE,chocolate
421598,CHESTNUT HONEY ALMOND BAR,honey
421599,ROASTED PEANUT BUTTER CUPS,peanut
421600,CANDY CHEWS,candy
421601,CANDY + DISPENSER,candy
421602,CANDY + DISPENSER,candy
421603,CANDY + DISPENSER,candy
421604,CANDY + DISPENSER,candy
421605,"SUPERIOR SNACKS, GUMMI BEARS CANDY",gummy bears
421606,SPONGE CANDY,sugar
421607,COOKIES,cookie
421608,MINT CHOCOLATE CHIPS COOKIES,chocolate chip
421609,"TATE'S BAKE SHOP, ORANGES & CREAM COOKIES",orange
421610,CRISPY & CRUNCHY POPPED CORN CHIPS,corn
421611,BEAN CRISPS,bean
421612,THIN & CRISPY POPPED BEAN CRISPS,bean
421613,PURE MILK CHOCOLATE,chocolate
421614,PREMIUM HOT COCOA,cocoa
421615,"TRUE LEMON, REAL FRUIT, FLAVORED DRINK MIX",lemon juice
421616,100% ORGANIC HERBAL TEA,tea
421617,"KOHLER, DARK TOFFEE BARK",toffee
421618,SUGAR COOKIE PLATTER,sugar
421619,"VIM + VIGOR, 100% COLD PRESSED JUICE",juice
421620,MILK TOFFEE BARK,toffee
421621,ORANGE CREAM,cream
421622,CANDY CANE,candy cane
421623,RASPBERRY LEMONADE DRINK MIX,lemonade mix
421624,100% COLD-PRESSED JUICE,juice
421625,"ANGRY BIRDS, GOURMET DECORATED SHORTBREAD COOKIE",cookie
421626,"YUMBANA SHOPPE, HOLIDAY SUGAR COOKIES",sugar
421627,"GLUTEN GOURMET, CHOCOLATE CHIP COOKIES",cookie
421628,RUDOPLH BUMBLE COOKIE DECORATING ICING KIT,icing
421629,SPARKLING DRINK MIX,soda
421630,SPARKLING DRINK MIX,soda
421631,RICE SNACKS,rice
421632,"BLACK CANYON GOURMET POPCORN, POPCORN, BANANA SPLIT",popcorn
421633,"BLACK CANYON GOURMET POPCORN, GOURMET POPCORN, COTTON CANDY",popcorn
421634,"SODASTREAM, WATERS FRUITS, SPARKLING WATER MIX, RED APPLE",water
421635,"IDAHO, BLACK CANYON, GOURMET POPCORN - KETTLE CORN",popcorn
421636,XSTREAM DIET ENERGY SPARKLING DRINK MIX,drink mix
421637,"GOURMET SELECT, DIPPED PRETZEL CHIPS, WHITE CHOCOLATE",pretzel
421638,HOLIDAY POPCORN TIN,popcorn
421639,"GOURMET SELECT, PUFFCORN, BUTTER",puffcorn
421640,WHITE CHEDDAR SNOWBALL,cheddar cheese
421641,SUPERFOOD + PEPITAS,pepita
421642,"COCO LIBRE, ORGANIC SPARKLING COCONUT WATER FROM CONCENTRATE",coconut water
421643,PREMIUM COCONUT WATER,water
421644,"THORNTONS, CONTINENTAL, ASSORTED MILK, WHITE & DARK CHOCOLATES",chocolate
421645,"THORNTONS, AN ASSORTMENT OF MILK, WHITE AND DARK REAL CHOCOLATES",chocolate
421646,COLD BREW COFFEE,coffee
421647,COLD BREW COFFEE,coffee
421648,GOURMET POPCORN,popcorn
421649,ESSENTIALS ALOE VERA JUICE DRINK,aloe vera juice
