id,title,ingredients,ingredients_normalized
33,Potato And Cheese Pie,"['3 eggs', '1 tsp. salt', '1/4 tsp. pepper', '2 c. half and half', '3 c. potatoes, shredded coarse', '1 c. Cheddar cheese, coarsely shredded', '1/3 c. green onions']","""['egg', 'salt', 'black pepper', 'half and half', 'potato', 'cheddar cheese', 'green onion']"""
34,Tuna Macaroni Casserole,"['1 box macaroni and cheese', '1 can tuna, drained', '1 small jar pimentos', '1 medium onion, chopped']","""['macaroni', 'tuna', 'pimento', 'onion']"""
35,Artichoke Dip,"['2 cans or jars artichoke hearts', '1 c. mayonnaise', '1 c. Parmesan cheese']","""['artichoke heart', 'mayonnaise', 'parmesan cheese']"""
36,Broccoli Dip For Crackers,"['16 oz. sour cream', '1 pkg. dry vegetable soup mix', '10 oz. pkg. frozen chopped broccoli, thawed and drained', '4 to 6 oz. Cheddar cheese, grated']","""['sour cream', 'vegetable soup mix', 'broccoli', 'cheddar cheese']"""
37,Summer Spaghetti,"['1 lb. very thin spaghetti', '1/2 bottle McCormick Salad Supreme (seasoning)', '1 bottle Zesty Italian dressing']","""['spaghetti', 'salad supreme', 'italian dressing']"""
38,Pear-Lime Salad,"['1 (16 oz.) can pear halves, undrained', '1 (3 oz.) pkg. lime gelatin', '1 (8 oz.) pkg. cream cheese, softened', '1 (8 oz.) carton lemon yogurt']","""['pear', 'lime gelatin', 'cream cheese', 'lemon yogurt']"""
39,Watermelon Rind Pickles,"['7 lb. watermelon rind', '7 c. sugar', '2 c. apple vinegar', '1/2 tsp. oil of cloves', '1/2 tsp. oil of cinnamon']","""['watermelon rind', 'sugar', 'apple vinegar', 'oil of cloves', 'oil of cinnamon']"""
40,Chicken Stew,"['3 lb. chicken, boiled', '4 medium potatoes, diced', '2 medium onions, chopped', '1 (16 oz.) can creamed corn', '1 (16 oz.) can English peas', '1 (16 oz.) can field peas', '1 (16 oz.) can butter beans', '1 (16 oz.) can tomatoes', '1 (46 oz.) can tomato juice', '1 small box macaroni', '1 Tbsp. black pepper', '1 Tbsp. salt', '1 Tbsp. sugar']","""['chicken', 'potato', 'onion', 'creamed corn', 'english pea', 'field pea', 'butter bean', 'tomato', 'tomato juice', 'macaroni', 'black pepper', 'salt', 'sugar']"""
41,Quick Coffee Cake(6 Servings),"['3 Tbsp. softened butter or margarine', '1/2 c. granulated sugar', '1 egg', '1 c. flour', '1 1/4 tsp. baking powder', '1/4 tsp. salt', '1/3 c. milk', '1/4 tsp. vanilla', '1/3 c. brown sugar, packed', '1/2 tsp. cinnamon', '2 Tbsp. butter or margarine']","""['butter', 'sugar', 'egg', 'flour', 'baking powder', 'salt', 'milk', 'vanilla', 'brown sugar', 'cinnamon']"""
42,Angel Biscuits,"['5 c. flour', '3 Tbsp. sugar', '4 tsp. baking powder', '1 1/2 pkg. dry yeast', '2 c. buttermilk', '1 tsp. soda', '1 1/2 sticks margarine', '1/2 c. warm water']","""['flour', 'sugar', 'baking powder', 'dry yeast', 'buttermilk', 'baking soda', 'margarine', 'water']"""
43,Quick Peppermint Puffs,"['8 marshmallows', '2 Tbsp. margarine, melted', '1/4 c. crushed peppermint candy', '1 can crescent rolls']","""['marshmallow', 'margarine', 'peppermint candy', 'crescent roll']"""
44,Fruit Pizza,"['1 box yellow cake mix', '1/4 c. water', '1/4 c. brown sugar', '1/2 c. soft butter', '2 eggs', '1/2 c. chopped nuts']","""['yellow cake mix', 'water', 'brown sugar', 'soft butter', 'egg', 'nut']"""
45,Chocolate Mint Bars,"['1 c. flour', '1 c. sugar', '1/2 c. oleo, softened', '4 eggs', '1 can chocolate syrup']","""['flour', 'sugar', 'oleo', 'egg', 'chocolate syrup']"""
46,Beer Bread,"['3 c. self rising flour', '1 - 12 oz. can beer', '1 Tbsp. sugar']","""['flour', 'beer', 'sugar']"""
47,Chicken Divan,"['1/4 c. margarine', '1/4 c. chopped onion (or as much as you want)', 'chopped celery to taste', '1/4 c. flour', '1/8 tsp. curry powder', '1 can sliced mushrooms (save juice)', '1 can cream of celery soup', '1 pkg. chopped broccoli', '1 cubed chicken', 'shredded Monterey Jack cheese']","""['margarine', 'onion', 'celery', 'flour', 'curry powder', 'mushrooms', 'cream of celery soup', 'broccoli', 'chicken', 'monterey jack cheese']"""
48,Mexican Cookie Rings,"['1 1/2 c. sifted flour', '1/2 tsp. baking powder', '1/2 tsp. salt', '1/2 c. butter', '2/3 c. sugar', '3 egg yolks', '1 tsp. vanilla', 'multi-colored candies']","""['flour', 'baking powder', 'salt', 'butter', 'sugar', 'egg', 'vanilla', 'candy']"""
49,Vegetable-Burger Soup,"['1/2 lb. ground beef', '2 c. water', '1 tsp. sugar', '1 pkg. Cup-a-Soup onion soup mix (dry)', '1 lb. can stewed tomatoes', '1 (8 oz.) can tomato sauce', '1 (10 oz.) pkg. frozen mixed vegetables']","""['ground beef', 'water', 'sugar', 'onion soup mix', 'stewed tomatoes', 'tomato sauce', 'frozen mixed vegetables']"""
50,Chicken Ole,"['4 chicken breasts, cooked', '1 can cream of chicken soup', '1 can cream of mushroom soup', '1 can green chili salsa sauce', '1 can green chilies', '1 c. milk', '1 grated onion', '1 pkg. corn tortilla in pieces']","""['chicken', 'cream of chicken soup', 'cream of mushroom soup', 'green chili salsa sauce', 'green chilies', 'milk', 'onion', 'corn tortilla']"""
51,Creamy Coleslaw(Better Homes And Gardens),"['4 c. shredded cabbage', '1/2 c. shredded carrots', '1/4 c. finely chopped green pepper', '2 Tbsp. finely chopped onion', '1/2 c. mayonnaise', '1 Tbsp. vinegar', '2 tsp. sugar', '1 tsp. celery seed', '1/4 tsp. salt']","""['cabbage', 'carrot', 'green pepper', 'onion', 'mayonnaise', 'vinegar', 'sugar', 'celery seed', 'salt']"""
52,Creole Flounder,"['2 lb. flounder or pollack fillets', '1 1/2 c. chopped tomatoes', '1/2 c. chopped green pepper', '1/3 c. lemon juice', '1 Tbsp. salad oil', '2 tsp. salt', '2 tsp. minced onion', '1 tsp. basil leaves', '1/4 tsp. coarsely ground black pepper', '4 drops red pepper sauce', 'green pepper rings']","""['flounder', 'tomato', 'green pepper', 'lemon juice', 'oil', 'salt', 'onion', 'basil', 'black pepper', 'red pepper sauce']"""
53,Three Bean Salad,"['1 can green beans, wash and drain', '1 can yellow beans, wash and drain', '1 can kidney beans, wash and drain', '1 c. sugar', '1/2 c. salad oil', '2/3 c. vinegar', '1/3 c. water']","""['green bean', 'yellow bean', 'kidney bean', 'sugar', 'oil', 'vinegar', 'water']"""
54,Dave'S Corn Casserole,"['1 (16 1/2 oz.) can whole kernel corn, drained', '1 (16 1/2 oz.) can cream-style corn', '1 (8 oz.) sour cream', '1 (8 1/2 oz.) pkg. Jiffy corn bread mix', '1 stick margarine']","""['corn', 'cream-style corn', 'sour cream', 'corn bread mix', 'margarine']"""
55,Casserole Italiano,"['1 lb. ground beef', '1/3 c. chopped onion', '1 can tomato soup', '2 c. cooked wide noodles', '1/2 tsp. oregano', '1/2 tsp. salt', '1/3 c. water', '1 c. cheese']","""['ground beef', 'onion', 'tomato soup', 'noodles', 'oregano', 'salt', 'water', 'cheese']"""
56,Corned Beef And Cabbage Casserole,"['1 small cabbage, shredded', '1 tsp. dry mustard', '1 can corned beef, flaked', '1 can cream of celery soup', '1 medium chopped onion']","""['cabbage', 'dry mustard', 'corned beef', 'cream of celery soup', 'onion']"""
57,Crab Cakes,"['1 Tbsp. Worcestershire sauce', '2 or 3 shakes Old Bay', '1 tsp. dry mustard', '2 Tbsp. mayonnaise', '1 egg']","""['worcestershire sauce', 'old bay', 'dry mustard', 'mayonnaise', 'egg']"""
58,Taco Dip,"['2 (8 oz.) pkg. cream cheese, softened', '1/2 c. mayonnaise or salad dressing', '8 oz. mild taco sauce', '2 to 4 thinly sliced green onions', '1/2 green pepper, chopped', '1 tomato, chopped', '1 c. Mozzarella cheese', '1 c. Cheddar cheese', '1/2 c. black olives (optional)', 'tortilla chips']","""['cream cheese', 'mayonnaise', 'taco sauce', 'green onion', 'green pepper', 'tomato', 'mozzarella cheese', 'cheddar cheese', 'black olive', 'tortilla chip']"""
59,Bonbon Cookies,"['1/2 lb. soft butter', '1/2 c. peanut butter', '1/2 lb. graham cracker crumbs', '2 c. coconut', '1/2 c. nut meats (optional)', 'dash of vanilla']","""['butter', 'peanut butter', 'graham cracker', 'coconut', 'nut meat', 'vanilla']"""
60,Forever Amber,"['1 lb. orange sliced candy, chopped', '2 cans Angel Flake coconut', '2 c. chopped pecans', '2 cans condensed milk', '1 tsp. vanilla', '1 tsp. orange flavoring']","""['orange candy', 'coconut', 'pecan', 'condensed milk', 'vanilla', 'orange flavoring']"""
61,Gooey Coffee Cake,"['1 yellow cake mix', '2 eggs', '1 stick oleo, melted', '1 c. chopped nuts', '2 eggs', '8 oz. softened cream cheese', '1 lb. powdered sugar']","""['yellow cake mix', 'egg', 'oleo', 'nut', 'cream cheese', 'powdered sugar']"""
62,Phylis' Pineapple-Banana Salad,"['1 large can chunk pineapple', '4 to 5 bananas']","""['pineapple', 'banana']"""
63,Chicken Casserole,"['1 can cream of mushroom soup', '1 can cream of chicken soup', '1 can cream of celery soup', '1 cut up chicken', '1/2 c. melted butter or margarine', '1 1/2 c. uncooked rice']","""['cream of mushroom soup', 'cream of chicken soup', 'cream of celery soup', 'chicken', 'butter', 'rice']"""
64,Pineapple Nut Pie,"['1 (8 oz.) pkg. cream cheese', '1 can sweetened condensed milk', '1/2 c. crushed pineapple', '1/3 c. chopped nuts', '1/3 c. lemon juice']","""['cream cheese', 'sweetened condensed milk', 'crushed pineapple', 'chopped nuts', 'lemon juice']"""
65,Annie'S Diabetic Candy,"['1 (8 oz.) Jell-O sugar-free vanilla or French vanilla pudding (put in dry)', '1 (8 oz.) Philadelphia light cream cheese', '2 Tbsp. butter', '2 Tbsp. peanut butter or more if you would like']","""['jell-o sugar-free vanilla or french vanilla pudding', 'philly light cream cheese', 'butter', 'peanut butter']"""
66,Frozen Peach Mousse,"['4 medium peaches, peeled and chopped', '1 to 1 1/4 c. sugar', '1 1/4 c. sour cream (use light)', '1/4 c. lemon juice', '3/4 to 1 tsp. vanilla']","""['peach', 'sugar', 'sour cream', 'lemon juice', 'vanilla']"""
67,Strawberry Pie,"['16 oz. Cool Whip', '2 pkg. frozen strawberries *', '2 (9-inch) deep pan pie crusts', '1 3/4 c. sugar', '12 oz. cream cheese']","""['cool whip', 'strawberry', 'pie crust', 'sugar', 'cream cheese']"""
68,Blueberry Surprise,"['1 stick margarine', '1 1/2 c. graham cracker crumbs', '1/4 c. granulated sugar']","""['margarine', 'graham cracker crumb', 'granulated sugar']"""
69,Moist Devil'S Food Cake,"['2 c. sifted flour', '1 1/2 tsp. baking soda', '1/4 tsp. salt', '1/2 c. shortening', '1 1/2 c. sugar', '2 eggs, separated', '1/2 c. cocoa', 'water', '1 tsp. vanilla', '1 c. milk']","""['flour', 'baking soda', 'salt', 'shortening', 'sugar', 'egg', 'cocoa', 'water', 'vanilla', 'milk']"""
70,Dot'S Civil War Cake,"['3 medium apples, chopped', '2 c. raisins', '1 c. brown sugar', '1 c. granulated sugar', '2 Tbsp. shortening', '2 c. cold water', '3 c. flour', '2 tsp. soda', '1 tsp. cinnamon', '1 tsp. nutmeg', '1 tsp. cloves', '1 tsp. salt', '1 c. nuts']","""['apple', 'raisin', 'brown sugar', 'granulated sugar', 'shortening', 'water', 'flour', 'baking soda', 'cinnamon', 'nutmeg', 'cloves', 'salt', 'nut']"""
71,Potato Casserole,"['6 c. diced potatoes', '1/2 c. chopped onion', '3/4 c. melted butter', '1 can cream of chicken soup', '1 (8 oz.) sour cream', '1 c. grated Cheddar cheese', '2 c. crushed cornflakes']","""['potato', 'onion', 'butter', 'cream of chicken soup', 'sour cream', 'cheddar cheese', 'cornflakes']"""
72,Dream Pie,"['vanilla wafers', 'butter']","""['vanilla wafers', 'butter']"""
73,Divinity Fudge,"['2 2/3 c. sugar', '2/3 c. white corn syrup (Karo)', '2/3 c. cold water', '2 egg whites', '1 tsp. vanilla', '1 c. chopped nuts']","""['sugar', 'corn syrup', 'water', 'egg white', 'vanilla', 'nut']"""
74,Apple Crisp,"['apples', '1/2 c. sugar', '1 tsp. cinnamon', '1/4 c. sugar', '1 c. flour', 'dash of salt', '1/2 c. corn flake crumbs', '1 stick oleo']","""['apple', 'sugar', 'cinnamon', 'flour', 'salt', 'cornflake', 'oleo']"""
75,Sausage Balls,"['2 c. Bisquick', '1 lb. sausage', '8 oz. pkg. Cheddar cheese, grated']","""['bisquick', 'sausage', 'cheddar cheese']"""
76,Consomme Chicken,"['chicken parts', '1 can cream of chicken soup', '1 can consomme', '2 c. rice', 'salt to taste', 'pepper to taste']","""['chicken', 'cream of chicken soup', 'consomme', 'rice', 'salt', 'pepper']"""
77,Spanish Hamburgers,"['1/2 c. celery', '2 chopped onions', '2 Tbsp. butter', '1 lb. ground beef', '2 Tbsp. vinegar', '2 Tbsp. lemon juice', '2 Tbsp. brown sugar', '1 1/2 Tbsp. mustard', '1 tsp. salt', '1 1/2 tsp. pepper', '1 c. catsup', '1 c. water']","""['celery', 'onion', 'butter', 'ground beef', 'vinegar', 'lemon juice', 'brown sugar', 'mustard', 'salt', 'pepper', 'catsup', 'water']"""
78,Egg Drop Soup,"['2 (13 3/4 oz.) cans chicken broth', '1 Tbsp. cornstarch', '1 well beaten egg', '2 Tbsp. sliced (1/4-inch) green onion']","""['chicken broth', 'cornstarch', 'egg', 'green onion']"""
79,Mulled Cider,"['1/2 gal. apple juice', '1 tsp. allspice', '1 tsp. whole cloves', '1 cinnamon stick', '1 c. brown sugar']","""['apple juice', 'allspice', 'clove', 'cinnamon', 'brown sugar']"""
80,Sesame Ginger Chicken,"['1 Tbsp. sesame seed, toasted', '2 tsp. grated ginger', '2 Tbsp. honey', '2 Tbsp. reduced-sodium soy sauce', '4 (4 oz.) skinned chicken breast halves', 'vegetable cooking spray', 'thin green onion strips']","""['sesame seed', 'ginger', 'honey', 'soy sauce', 'chicken', 'vegetable cooking spray', 'onion']"""
81,Egg Casserole,"['1 Vidalia onion, chopped', '1 (16 oz.) pkg. fresh mushrooms', '2 green peppers', '1 clove garlic', 'olive oil', '6 pieces bread (buttered with either butter or margarine)', '6 eggs', 'milk (as much as you would like; to fluff eggs)']","""['onion', 'mushroom', 'pepper', 'garlic', 'olive oil', 'bread', 'egg', 'milk']"""
82,Cranberry-Apple-Orange Salad,"['1 (12 oz.) bag raw cranberries (2 c.)', '1 c. sugar', '1 medium apple, peeled, cored and cut into wedges', '1 orange, peeled, seeded and broken in wedges', '1 (3 oz.) pkg. orange gelatin', '1/2 c. nuts (optional)']","""['cranberry', 'sugar', 'apple', 'orange', 'gelatin', 'nut']"""
83,Brown Rice,"['1 c. raw rice', '1 can beef consomme', '1 can French onion soup', '1 (4 oz.) can mushrooms', '1/2 stick margarine, cut up']","""['rice', 'beef consomme', 'french onion soup', 'mushroom', 'margarine']"""
84,Cranberry Salad,"['2 (3 oz.) pkg. softened cream cheese', '2 Tbsp. margarine', '2 Tbsp. sugar', '1 (16 oz.) can whole berry cranberry sauce', '3/4 c. crushed pineapple, drained', '1/2 c. chopped walnuts', '1 c. whipping cream']","""['cream cheese', 'margarine', 'sugar', 'cranberry sauce', 'pineapple', 'walnut', 'whipping cream']"""
85,Cheese Dip,"['2 lb. Velveeta cheese', '1 (15 oz.) can Italian tomatoes', '2 small cans green chili peppers', '1/2 medium onion, minced', '3 cloves garlic', '1/2 tsp. salt']","""['vegana cheese', 'tomato', 'green chili pepper', 'onion', 'garlic', 'salt']"""
86,Funnel Cake,"['1 1/3 c. flour', '1 1/4 tsp. salt', '1/2 tsp. soda', '2 Tbsp. sugar', '3/4 Tbsp. baking powder', '1 egg, beaten', '2/3 c. milk (more if batter is too thick)', 'oil (for frying)', 'powdered sugar']","""['flour', 'salt', 'baking soda', 'sugar', 'baking powder', 'egg', 'milk', 'oil', 'powdered sugar']"""
87,Fast Real Good Fudge,"['4 lb. confectioners sugar', '1 c. cocoa', '1 c. chopped nuts', '1 lb. margarine (not whipped)', '1 lb. Velveeta', '1 Tbsp. vanilla']","""['sugar', 'cocoa', 'nut', 'margarine', 'veelveeta', 'vanilla']"""
88,Squash Casserole,"['3 lb. squash', '3 onions', '1 pt. sour cream', '3 carrots, grated', '2 cans chicken or mushroom soup', '1 pkg. Pepperidge Farm stuffing mix', '1 stick butter', 'salt and pepper to taste']","""['squash', 'onion', 'sour cream', 'carrot', 'chicken soup or mushroom soup', 'stuffing mix', 'butter', 'pepper']"""
89,Cheese Ball,"['2 pkg. cream cheese', '2 c. shredded Cheddar cheese (8 oz.)', '1 Tbsp. chopped pimento', '1 Tbsp. chopped green pepper', '1 Tbsp. chopped onion', '1 tsp. lemon juice', '2 tsp. Worcestershire sauce', 'dash of Tabasco sauce', 'dash of salt']","""['cream cheese', 'cheddar cheese', 'pimento', 'green pepper', 'onion', 'lemon juice', 'worcestershire sauce', 'tabasco sauce', 'salt']"""
