fdc_id,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel,short_description
1109541,The Kroger Co.,"","",11110886446,"GROUND ORGANIC BLUE CORN, ORGANIC EXPELLER PRESSED VEGETABLE OIL (ORGANIC SUNFLOWER AND/OR ORGANIC SAFFLOWER OIL), SEA SALT.","",28,g,"","Chips, Pretzels & Snacks",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109542,"Campofrio Food Group - America, Inc.","","",17869708428,"INGREDIENTS: PORK, SEA SALT, CONTAINS LESS THAN 2% OF THE FOLLOWING: TURBINADO SUGAR, WINE, GARLIC, NATURAL FLAVORING, CELERY POWDER, LACTIC ACID STARTER CULTURE.","",56,g,"","Pepperoni, Salami & Cold Cuts",LI,"",2020-09-01,2020-11-13,United States,"","","",""
1109543,"Alpha Baking Co., Inc.","","",73711388996,"ENRICHED WHEAT FLOUR (WHEAT FLOUR, BARLEY MALT, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, YEAST, DEHYDRATED ONIONS, HIGH FRUCTOSE CORN SYRUP, SOYBEAN OIL, WHEAT GLUTEN, CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, DOUGH CONDITIONERS (DATEM, CALCIUM STEAROYL LACTYLATE, MONO & DIGLYCERIDES, ASCORBIC ACID, POTASSIUM IODATE, L-CYSTEINE, AZODICARBONAMIDE, ENZYMES), YEAST NUTRIENTS (CALCIUM SULFATE), CORN FLOUR, TURMERIC, PAPRIKA, NATURAL AND ARTIFICIAL FLAVORS, POPPY SEED, POTASSIUM SORBATE AND CALCIUM PROPIONATE (PRESERVATIVES), VINEGAR, WHEAT STARCH.","",68,g,"",Breads & Buns,LI,"",2020-04-26,2020-11-13,United States,"","","",""
1109544,"The Hain Celestial Group, Inc.","","",15839008219,"ORGANIC BLUE CORN, EXPELLER PRESSED CANOLA OIL AND/OR SAFFLOWER OIL AND/OR SUNFLOWER OIL, SEA SALT.","",28,g,"","Chips, Pretzels & Snacks",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109545,"The Hain Celestial Group, Inc.","","",15839022208,"ORGANIC BLUE CORN, ORGANIC EXPELLER PRESSED SUNFLOWER OIL AND/OR SAFFLOWER OIL, SEA SALT.","",28,g,"","Chips, Pretzels & Snacks",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109546,"Whole Foods Market, Inc.","","",99482419875,"ORGANIC ROLLED OATS, ORGANIC DEHYDRATED CANE JUICE SOLIDS, ORGANIC DEHYDRATED APPLES (TREATED WITH ASCORBIC ACID, CITRIC ACID AND CALCIUM CHLORIDE TO PRESERVE COLOR), ORGANIC CINNAMON, NATURAL FLAVOR, SEA SALT.","",40,g,"",Cereal,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109547,Iberia Foods Corporation,"","",75669109913,"SARDINES, WATER, TOMATO PASTE, SUGAR, MODIFIED TAPIOCA STARCH, SALT AND PAPRIKA.","",55,g,"",Canned Seafood,LI,"",2020-09-30,2020-11-13,United States,"","","",""
1109548,Food For Life Baking Co Inc,"","",73472002629,"EZEKIEL 4:9 BLEND: (ORGANIC SPROUTED WHEAT, ORGANIC SPROUTED BARLEY, ORGANIC SPROUTED MILLET, ORGANIC SPROUTED LENTILS, ORGANIC SPROUTED SOYBEANS, ORGANIC SPROUTED SPELT), ORGANIC RAISINS, ORGANIC MALTED BARLEY, ORGANIC AGAVE, SEA SALT, ORGANIC ROSEMARY EXTRACT.","",55,g,"",Cereal,LI,"",2020-09-16,2020-11-13,United States,"","","",""
1109549,"Snyder's-Lance, Inc.","","",23896577005,"WHOLE GRAIN POPCORN, PALM OIL, SALT, NATURAL FLAVORS, ANNATTO, PAPRIKA.","",25,g,"","Popcorn, Peanuts, Seeds & Related Snacks",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109550,"RSJ Ventures, LLC ","","",858959005009,"BEEF, SOY SAUCE (WATER, SUGAR, SALT, HYDROLYZED CORN AND SOY PROTEIN, CARAMEL COLOR, NATURAL FLAVOR, CULTURED DEXTROSE, LACTIC ACID, GREEN TEA EXTRACT, MUSTARD OIL), SUGAR, WORCESTERSHIRE SAUCE (DISTILLED WHITE VINEGAR, MOLASSES, SUGAR, WATER, SALT, ONIONS, ANCHOVIES, GARLIC, CLOVES, TAMARIND EXTRACT, NATURAL FLAVORINGS, CHILI PEPPER EXTRACT), HORSERADISH (HORSERADISH ROOTS, VINEGAR, SALT AND MUSTARD OIL), LIQUID SMOKE (WATER, NATURAL HICKORY SMOKE FLAVOR, VINEGAR, MOLASSES, CARAMEL COLOR AND SALT), LESS THAN 2%: CULTURED CELERY POWDER, SEA SALT, BLACK PEPPER, RED PEPPER.","",28,g,"",Other Snacks,LI,"",2020-04-15,2020-11-13,United States,"","","",""
1109551,"B&G Foods North America, Inc. ","","",81363004348,"ALMONDS, BROWN RICE SYRUP, PECANS, CASHEWS, ORGANIC SUGAR, SEA SALT, HIGH OLEIC SUNFLOWER OIL.","",28,g,"","Popcorn, Peanuts, Seeds & Related Snacks",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109552,Saputo Cheese USA Inc. ,"","",41716150108,"PARMESAN CHEESE, (PASTEURIZED PART-SKIM MILK, CHEESE CULTURES, SALT, ENZYMES).","",28,g,"",Cheese,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109553,Louisiana Fish Fry Ltd.,"","",39156000299,"YELLOW CORN FLOUR, YELLOW CORN MEAL.","",18,g,"",Bread & Muffin Mixes,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1111522,"Whole Foods Market, Inc.","","",99482439125,"ORGANIC CULTURED PASTEURIZED PART-SKIM MILK, SALT, MICROBIAL ENZYMES, VITAMIN A PALMITATE.","",28,g,"",Cheese,LI,"",2020-09-21,2020-11-13,United States,"","","",""
1109555,Pinnacle Foods Group LLC,"","",14500015723,"BROCCOLI, 2% OR LESS OF SOYBEAN OIL, BROWN SUGAR, DEHYDRATED SOY SAUCE (FERMENTED SOYBEANS, WHEAT, SALT), SUGAR, MALTODEXTRIN, SALT, MODIFIED FOOD STARCH, SPICES, GARLIC POWDER, ONION POWDER, WHITE DISTILLED VINEGAR, YEAST EXTRACT.","",85,g,"",Frozen Vegetables,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109556,Pinnacle Foods Group LLC,"","",14500015716,"CAULIFLOWER, BUFFALO SEASONING (DISTILLED VINEGAR, AGED CAYENNE RED PEPPERS, SALT, WATER, CANOLA OIL, PAPRIKA, XANTHAN GUM, NATURAL BUTTER TYPE FLAVOR, GARLIC POWDER, MALTODEXTRIN, NATURAL BUTTER FLAVOR [MALTODEXTRIN, MODIFIED BUTTER OIL, SALT, DEHYDRATED BUTTER, GUAR GUM, SODIUM BICARBONATE, ANNATTO AND TURMERIC {FOR COLOR}]), LESS THAN 2% OF SOYBEAN OIL.","",94,g,"",Frozen Vegetables,LI,"",2020-09-02,2020-11-13,United States,"","","",""
1109557,Pinnacle Foods Group LLC,"","",14500020994,CORN.,"",95,g,"",Frozen Vegetables,LI,"",2020-09-14,2020-11-13,United States,"","","",""
1109558,Gorton's of Gloucester ,"","",44400154604,"ALASKAN POLLOCK FILLETS, BREADCRUMB COATING, VEGETABLE OIL. ALASKAN POLLOCK FILLETS, BREADCRUMB COATING: WHEAT FLOUR, WATER, YELLOW CORN FLOUR, SUGAR, SALT, ONION POWDER, WHEY, YEAST, BAKING POWDER (BAKING SODA, SODIUM ALUMINUM PHOSPHATE, CREAM OF TARTAR), NATURAL FLAVOR. VEGETABLE OIL: CANOLA AND/OR SOYBEAN OIL.","",106,g,"",Frozen Fish & Seafood,LI,"",2020-04-14,2020-11-13,United States,"","","",""
1109559,Sun-Maid Growers of California,"","",41143192504,"RAISINS, GREEK STYLE YOGURT COATING (SUGAR, PALM KERNEL OIL, LACTOSE, NONFAT DRY MILK SOLIDS, YOGURT POWDER, LACTIC ACID, SOY LECITHIN - AN EMULSIFIER AND NATURAL FLAVOR), NATURAL COLOR AND NATURAL FLAVOR, TAPIOCA DEXTRIN, AND CONFECTIONERS GLAZE.","",30,g,"","Popcorn, Peanuts, Seeds & Related Snacks",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109560,"The Hampton Popcorn Company, Inc. ","","",812438011028,"CORN SYRUP, SUGAR, CORN STARCH, BEEF GELATINE, ACIDULANTS (CITRIC ACID, TARTARIC ACID, MALIC ACID), ARTIFICIAL FLAVORS, COLORS (YELLOW 5, YELLOW 6, BLUE 1, RED 40, TITANIUM DIOXIDE).","",40,g,"",Candy,LI,"",2020-09-24,2020-11-13,United States,"","","",""
1109561,The Kroger Co.,"","",11110868817,"ORGANIC BROWN RICE FLOUR, ORGANIC AMARANTH FLOUR, ORGANIC QUINOA FLOUR.","",56,g,"",Pasta by Shape & Type,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109562,Bare Foods Co.,"","",13971030006,"COCONUTS, CANE SUGAR, AND SEA SALT.","",28,g,"",Wholesome Snacks,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109563,Target Stores,"","",85239721261,"YOGURT FLAVORED COATING (SUGAR, HYDROGENATED PALM KERNEL OIL, NONFAT DRY MILK, YOGURT POWDER [CULTURED WHEY, NONFAT MILK POWDER], WHEY POWDER, COLOR ADDED [TITANIUM DIOXIDE], SOY LECITHIN, VANILLA), RAISINS, TAPIOCA DEXTRIN, CONFECTIONER'S GLAZE.","",30,g,"","Popcorn, Peanuts, Seeds & Related Snacks",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109564,"La Tourangelle, Inc","","",854259005268,ORGANIC HIGH-OLEIC SUNFLOWER SEED OIL AND ORGANIC REFINED COCONUT OIL (COCONUT),"",15,ml,"",Vegetable & Cooking Oils,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109565,Litehouse Inc.,"","",77661111413,"HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, HYDROGENATED COCONUT OIL, SUGAR, WATER, MODIFIED CORN STARCH, BUTTER, COCOA, SKIM MILK POWDER, SALT, MONOGLYCERIDES, DISODIUM PHOSPHATE, POTASSIUM SORBATE (TO PROTECT QUALITY), VANILLIN, CALCIUM DISODIUM EDTA (TO PROTECT QUALITY).","",37,g,"",Dips & Salsa,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109566,Clif Bar and Company,"","",722252191618,"TAPIOCA SYRUP*, BROWN RICE FLOUR*, ROLLED OATS*, WHEY PROTEIN CONCENTRATE, PEANUT BUTTER*, CANE SYRUP*, CANE SUGAR*, OAT FLOUR*, CHICORY FIBER SYRUP, VEGETABLE GLYCERIN, NATURAL FLAVORS, PEANUT FLOUR*, PEA PROTEIN*, RICE FLOUR, TAPIOCA SYRUP SOLIDS*, COCOA*, PALM KERNEL OIL, PALM KERNEL SOLIDS*, SALT, SOY LECITHIN*, VANILLA EXTRACT*.","",36,g,"","Snack, Energy & Granola Bars",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109567,Bare Foods Co.,"","",13971021011,APPLES AND CINNAMON.,"",28,g,"",Wholesome Snacks,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109568,"Post Consumer Brands, LLC","","",883978144446,"WHOLE GRAIN WHEAT, SUGAR, CORN MEAL, CANOLA OIL, MOLASSES, FRUCTOSE, SALT, HONEY, BAKING SODA, CALCIUM CARBONATE, SOY LECITHIN, DEXTROSE, TRISODIUM PHOSPHATE, ROSEMARY EXTRACT (ANTIOXIDANT). VITAMINS AND MINERALS: FERRIC ORTHOPHOSPHATE (SOURCE OF IRON), NIACINAMIDE (VITAMIN B3), ZINC OXIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6).","",42,g,"",Cereal,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109569,"Club Apparel, LLC","","",812315015590,"PASTEURIZED SHEEP MILK, LACTIC FERMENTS, SALT, RENNET.","",28,g,"",Cheese,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109570,Simple Mills,"","",856069005032,ALMOND FLOUR ARROWROOT FLAX MEAL TAPIOCA STARCH SEA SALT BAKING SODA,"",25,g,"",Bread & Muffin Mixes,LI,"",2020-09-21,2020-11-13,United States,"","","",""
1109571,Simple Mills,"","",856069005049,"ALMOND FLOUR, CHOCOLATE CHIPS (CANE SUGAR, COCOA LIQUOR, COCOA BUTTER), ORGANIC COCONUT SUGAR, TAPIOCA STARCH, ORGANIC COCONUT FLOUR, BAKING SODA, SEA SALT","",22,g,"",Cookies & Biscuits,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109572,Pura Stainless LLC ,"","",897261001774,"ORGANIC WHEAT FLOUR, ORGANIC POWDERED SUGAR WITH ORGANIC CORN STARCH, ORGANIC EXPELLER PRESSED SUNFLOWER OIL, ORGANIC CANE SUGAR, ORGANIC CANE SYRUP, BAKING SODA, ORGANIC VANILLA EXTRACT, SEA SALT, SOY LECITHIN, NATURAL FLAVOR.","",26,g,"",Cookies & Biscuits,LI,"",2020-04-26,2020-11-13,United States,"","","",""
1109573,Seneca Foods Corporation,"","",41580860004,"CHERRIES, WATER, SUGAR, VEGETABLE JUICE (COLOR), CITRIC ACID, NATURAL FLAVOR","",6,g,"",Canned Fruit,LI,"",2020-04-11,2020-11-13,United States,"","","",""
1109574,The Kroger Co.,"","",11110914699,ORGANIC RAISINS.,"",40,g,"",Wholesome Snacks,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109575,Mariani Packing Company,"","",71022267108,"DRIED PINEAPPLE, SUGAR, PINEAPPLE JUICE (FROM CONCENTRATE) AND CITRIC ACID. SODIUM METABISULFITE ADDED AS A PRESERVATIVE.","",40,g,"",Wholesome Snacks,LI,"",2020-09-04,2020-11-13,United States,"","","",""
1109576,The Kroger Co.,"","",11110837943,"*ORGANIC CHAMOMILE, ORGANIC LEMON MYRTLE, ORGANIC LEMON OIL.","",1,g,"",Tea Bags,LI,"",2020-09-19,2020-11-13,United States,"","","",""
1109577,"Jo-Lee Food Products, Inc.","","",64777813034,FLAX SEEDS.,"",30,g,"",Other Grains & Seeds,LI,"",2020-04-13,2020-11-13,United States,"","","",""
1109578,Pioneer Flour Mills,"","",41460398832,"ENRICHED BLEACHED FLOUR (WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), PALM OIL, FOOD STARCH-MODIFIED, MALTODEXTRIN, CORN SYRUP SOLIDS, SALT, SPICES, CONTAINS LESS THAN 2%: GROUND PORK, PORK STOCK, PEPPER, ONION, NONFAT MILK, MOLASSES, YEAST EXTRACT, NATURAL FLAVORS, DEXTROSE, SODIUM CASEINATE, WHEY PROTEIN CONCENTRATE, MONO & DIGLYCERIDES, SODIUM CITRATE, CARRAGEENAN, DISODIUM GUANYLATE AND INOSINATE (FLAVOR ENHANCERS).","",10,g,"",Gravy Mix,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109579,"Simply Asia Foods, Inc.","","",854285000848,"NOODLE: WHEAT FLOUR, WATER, MODIFIED TAPIOCA STARCH, SALT, GLUCONO DELTA LACTONE (ACIDULANT), GUAR GUM, XANTHAN GUM (THICKENER). SAUCE: SUGAR, WATER, SOY SAUCE (SOYBEANS, WATER, SALT), RICE VINEGAR, GINGER, MANGO JUICE CONCENTRATE, ORANGE JUICE CONCENTRATE, SOYBEAN OIL, ONIONS, RICE WINE, GARLIC, SESAME OIL, SALT, SEAWEED, CARAMEL COLOR, XANTHAN GUM (THICKENER), CITRIC ACID, EXTRACTIVES OF PAPRIKA, TOPPING: SESAME SEED. VEGETABLE PACKET: CARROT, GREEN ONION.","",240,g,"",All Noodles,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1119184,North Dallas Honey Company LP,"","",38778830161,HONEY,"",21,g,"",Honey,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109580,"McCormick & Company, Inc.","","",5253515,"INGREDIENTS: RICE, SOYBEANS, BREAD CRUMBS (BLEACHED WHEAT FLOUR, DEXTROSE, SALT, AND YEAST), SOY FLOUR, SUNFLOWER SEEDS, TORTILLA STRIPS (CORN MASA FLOUR, LIME, SALT, AND SUNFLOWER OIL), GARLIC, RED AND GREEN BELL PEPPERS, ONION, CARROT, SUNFLOWER OIL, SALT, SPICES (INCLUDING CUMIN AND CILANTRO), SUGAR, JALAPENO PEPPER, PAPRIKA, AND MALT BARLEY EXTRACTIVES.","",8,g,"",Salad Dressing & Mayonnaise,LI,"",2020-09-01,2020-11-13,United States,"","","",""
1109581,"McCormick & Company, Inc.","","",52100034874,"SALT, EVAPORATED CANE SYRUP, BROWN SUGAR, MOLASSES (REFINERY SYRUP, CANE MOLASSES, CARAMEL COLOR), SPICES (INCLUDING PAPRIKA, CHILI PEPPER), GARLIC, ONION, MAPLE SYRUP, ORANGE PEEL, RED BELL PEPPERS, AND NATURAL FLAVOR (INCLUDING SMOKE).","",1,g,"",Herbs & Spices,LI,"",2020-09-01,2020-11-13,United States,"","","",""
1109582,"McCormick & Company, Inc.","","",52100021270,"SPICES (INCLUDING CHILI PEPPER, BLACK PEPPER, PAPRIKA AND MUSTARD), SALT, GARLIC, ONION, BROWN SUGAR, CORN MALTODEXTRIN, SUNFLOWER OIL, YEAST EXTRACT, NATURAL FLAVOR (INCLUDING SMOKE AND MALTED BARLEY WHISKEY EXTRACT), AND CITRIC ACID.","",4,g,"","Seasoning Mixes, Salts, Marinades & Tenderizers",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109583,"McCormick & Company, Inc.","","",41234713113,"ENRICHED WHEAT FLOUR (FLOUR, NIACIN, IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), YELLOW CORN FLOUR, MODIFIED CORN STARCH, SALT, LEAVENING (SODIUM ALUMINUM PHOSPHATE, SODIUM BICARBONATE, AND MONOCALCIUM PHOSPHATE), AND SPICES (INCLUDING CELERY SEED AND BLACK PEPPER).","",29,g,"",Bread & Muffin Mixes,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109584,"McCormick & Company, Inc.","","",21500010436,"SALT, SUGAR, CORN STARCH (PREVENTS CAKING), AND BROMELAIN (TENDERIZER).","",1.39999997615814,g,"","Seasoning Mixes, Salts, Marinades & Tenderizers",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109585,Zatarain's Inc.,"","",71429011830,"COOKED ENRICHED LONG GRAIN RICE (WATER, RICE, IRON, NIACIN, THIAMINE MONONITRATE, FOLIC ACID), RED BEANS, GREEN AND RED BELL PEPPERS, SOYBEAN OIL, SEA SALT, SOY SAUCE (HYDROLYZED SOY PROTEIN, CORN SYRUP SOLIDS, SALT), YEAST EXTRACT, ONIONS, PORK STOCK, GARLIC, SPICES, NATURAL FLAVOR, CARAMEL COLOR, TORULA YEAST, BACON FAT, SALT.","",140,g,"","Entrees, Sides & Small Meals",LI,"",2020-04-09,2020-11-13,United States,"","","",""
1109586,"McCormick & Company, Inc.","","",52100090061,"SALT, BLACK PEPPER, CITRIC ACID, ONION, SUGAR, GARLIC, CALCIUM STEARATE, SILICON DIOXIDE, AND CALCIUM SILICATE (ADDED TO MAKE FREE FLOWING), CELERY SEED, LEMON OIL, AND FD&C YELLOW 5 LAKE.","",0.699999988079071,g,"","Seasoning Mixes, Salts, Marinades & Tenderizers",LI,"",2020-04-09,2020-11-13,United States,"","","",""
1109587,"McCormick & Company, Inc.","","",52100033655,"BROWN SUGAR, TOMATO PUREE (WATER, TOMATO PASTE), DISTILLED VINEGAR, WATER, SALT, SPICES (INCLUDING CHILI PEPPER, BLACK PEPPER), WORCESTERSHIRE SAUCE (VINEGAR, MOLASSES, CORN SYRUP, WATER, SALT, CARAMEL COLOR, GARLIC, SUGAR, SPICES, TAMARIND, NATURAL FLAVOR), BOURBON, MODIFIED CORN STARCH, ONION, GARLIC, RED BELL PEPPER, RICE FLOUR, SOYBEAN OIL, SODIUM BENZOATE AND POTASSIUM SORBATE (TO PROTECT QUALITY), XANTHAN GUM, AND NATURAL FLAVOR.","",18,g,"","Seasoning Mixes, Salts, Marinades & Tenderizers",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109588,"McCormick & Company, Inc.","","",21500012614,"SALT, GARLIC, SPICES (INCLUDING CUMIN, OREGANO AND RED PEPPER), SUGAR, CITRIC ACID, YEAST EXTRACT, NATURAL FLAVOR, SILICON DIOXIDE (ADDED TO MAKE FREE FLOWING) & EXTRACTIVES OF PAPRIKA.","",0.899999976158142,g,"","Seasoning Mixes, Salts, Marinades & Tenderizers",LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109589,"Simply Asia Foods, Inc.","","",737628010271,"NOODLE: WATER, RICE, POTATO STARCH, LACTIC ACID, AMYLASE. SAUCE: WATER, SUGAR, PEANUT PASTE, FISH SAUCE (ANCHOVY, WATER, SALT, SUGAR), RED CURRY PASTE (CHILI PEPPER, GARLIC, LEMONGRASS, SALT, SHALLOT, GALANGAL, SHRIMP PASTE, THAI LIME, PEPPER), ONION, GARLIC, GLUCONO DELTA-LACTONE (ACIDULANT), COCONUT MILK POWDER (EXTRACTIVES OF COCONUT, CORN MALTODEXTRIN, SODIUM CASEINATE {MILK}), LEMON, SESAME OIL, ACETIC ACID, PEANUT, SPICES, LEMONGRASS, TAMARIND PASTE (TARTARIC ACID, SUCCINIC ACID, MALIC ACID, TAMARIND SEED GUM, PECTIN), XANTHAN GUM, CITRIC ACID, CARAMEL COLOR, YEAST EXTRACT. DEHYDRATED VEGETABLES: BOK CHOY, CARROT, RED BELL PEPPER. TOPPING: PEANUT.","",276,g,"",All Noodles,LI,"",2020-04-08,2020-11-13,United States,"","","",""
1109590,Zatarain's Inc.,"","",71429085206,"ENRICHED MACARONI PRODUCT (DURUM WHEAT FLOUR, NIACIN, IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), ENRICHED BLEACHED WHEAT FLOUR (FLOUR, NIACIN, IRON, THIAMINE, RIBOFLAVIN, FOLIC ACID), ONION, SALT, MODIFIED CORN STARCH, RED AND GREEN BELL PEPPER, SASSAFRAS LEAVES, YEAST EXTRACT, SOY SAUCE (HYDROLYZED SOY PROTEIN, CORN SYRUP SOLIDS, SALT), GARLIC, SPICES (INCLUDING RED PEPPER), CARAMEL COLOR, DEXTROSE, AND SULFITING AGENT.","",32,g,"",Pasta Dinners,LI,"",2020-04-09,2020-11-13,United States,"","","",""
1109591,"McCormick & Company, Inc.","","",21500011396,"SALT, SUGAR, SPICES (INCLUDING BASIL AND OREGANO), PAPRIKA, GARLIC, ONION, MODIFIED CORN STARCH, NATURAL FLAVOR, AND EXTRACTIVES OF PAPRIKA.","",1,g,"","Seasoning Mixes, Salts, Marinades & Tenderizers",LI,"",2020-04-08,2020-11-13,United States,"","","",""
