id,title,ingredients,directions,link,source,ner
551185,Candied Sweet Potatoes,"{4 medium sweet potatoes,1/2 c. melted margarine,1 c. sugar,1/4 c. water}","{Peel potatoes and cut into 2-inch slices.,""Combine margarine, sugar and water in a cast-iron skillet; add potatoes."",Cover and simmer on low heat for 1 to 2 hours or until potatoes are done and liquid is thick.,Watch potatoes carefully and turn frequently.}",www.cookbooks.com/Recipe-Details.aspx?id=584674,Gathered,"{sweet potatoes,margarine,sugar,water}"
551186,Fruit Cocktail Dessert,"{2 c. sugar,2 beaten eggs,2 c. flour,2 tsp. soda,1 tsp. salt,""1 large can fruit cocktail, drained""}","{""Sift together flour, sugar, soda and salt. Add beaten eggs and drained fruit cocktail."",Mix together and pour into greased 9 x 13-inch pan. Sprinkle over the top 1 cup brown sugar and nuts. Bake 1 hour or more until done at 300u00b0.}",www.cookbooks.com/Recipe-Details.aspx?id=565393,Gathered,"{sugar,eggs,flour,soda,salt,fruit cocktail}"
551187,Creamy Italian Dressing,"{1 c. low-fat mayonnaise,""1/2 small onion, chopped fine"",2 Tbsp. red wine vinegar,1 Tbsp. sugar or equivalent,1/4 tsp. salt,1/4 tsp. garlic powder,1/8 tsp. pepper,3/4 tsp. Italian seasoning}",{Mix in blender until smooth.},www.cookbooks.com/Recipe-Details.aspx?id=807542,Gathered,"{low-fat mayonnaise,onion,red wine vinegar,sugar,salt,garlic powder,pepper,Italian seasoning}"
551188,Hot And Spicy Pecans,"{1/2 c. butter,1/4 c. Worcestershire sauce,1 tbsp. garlic powder,1 tbsp. red pepper,1 tbsp. black pepper,2 tsp. salt,3 c. shelled pecans}","{""Melt butter, add all ingredients, except pecans."",""Stir well. Remove from heat and cool, add pecans."",""Stir about 5 minutes, spread on cookie sheet."",Bake for 15 minutes at 350u00b0.}",www.cookbooks.com/Recipe-Details.aspx?id=64406,Gathered,"{butter,Worcestershire sauce,garlic powder,red pepper,black pepper,salt,pecans}"
551189,Canned Tomatoes,"{fresh tomatoes,sugar,salt}","{Peel tomatoes and pack in jars.,Add 1/2 teaspoon of salt and 1/2 teaspoon of sugar.,Put on lids.,Put in oven.,Set oven at 255u00b0 for 45 minutes.,Leave tomatoes in oven until cool.}",www.cookbooks.com/Recipe-Details.aspx?id=438466,Gathered,"{tomatoes,sugar,salt}"
551190,Choc Caramel Nut Bars,"{1 (14 oz.) bag caramels,1 small can evaporated milk,1 German chocolate cake mix with pudding,""1/2 c. margarine, melted"",1 1/2 c. chopped walnuts,6 oz. pkg. chocolate chips (semi-sweet)}","{""Melt caramels and 1/3 cup of the evaporated milk, stirring, over low heat until smooth."",""Combine remaining milk, cake mix and margarine."",Mix well.,Press 1/2 of the cake mixture in the bottom of greased 9 x 13-inch pan.,Bake at 350u00b0 for 6 minutes.,Sprinkle 1 cup walnuts and the chocolate chips over crust.,""Top with caramel mixture, spreading to edges of pan."",Top with teaspoonfuls of the remaining cake mixture.,Press gently.,Sprinkle remaining nuts. Press gently.,Bake at 350u00b0 for 20 minutes.,Cool and cut into bars or refrigerate.}",www.cookbooks.com/Recipe-Details.aspx?id=974065,Gathered,"{caramels,milk,chocolate cake,margarine,walnuts,chocolate chips}"
551191,Potato Pancakes,"{1 lb. potatoes,""1 egg, beaten"",2 1/2 tsp. flour,1 onion,1/2 tsp. salt,1/4 tsp. pepper,1/2 tsp. baking powder,2 tsp. milk}","{Peel and grate onion and potatoes.,Let stand for 10 minutes and remove liquid.,""Mix egg, flour, salt, pepper, baking powder and milk together and pour in with the onion and potatoes."",Drop desired amount into hot oil and fry until golden brown on both sides.}",www.cookbooks.com/Recipe-Details.aspx?id=1068534,Gathered,"{potatoes,egg,flour,onion,salt,pepper,baking powder,milk}"
551192,Bacon Wraps,"{""1 lb. sausage, browned and drained"",1 (8 oz.) pkg. cream cheese,""bread slices, edges trimmed and cut in half"",""bacon strips, cut into thirds""}","{Mix cream cheese with browned and drained sausage. Cut edges off bread and cut in half.,Spread cream cheese mixture on bread halves and roll up jelly roll style.,Cut bacon slice in thirds and wrap 1/3 around bread.,Secure with toothpick.,Bake at 350u00b0 for 25 to 30 minutes.}",www.cookbooks.com/Recipe-Details.aspx?id=202156,Gathered,"{sausage,cream cheese,bread,bacon}"
551194,Very Good Pound Cake,"{2 sticks margarine,3 c. sugar,6 eggs,3 c. Swans Down cake flour,1/2 tsp. baking powder,1/8 tsp. salt,1 Tbsp. vanilla,1 tsp. butter flavoring,1 c. sour cream}","{Cream margarine and sugar.,""Add eggs, one at a time, and beat well."",""Then add flour, baking powder and salt to creamed mixture. Now add sour cream and flavoring."",Bake at 300u00b0 for 2 hours.}",www.cookbooks.com/Recipe-Details.aspx?id=1028534,Gathered,"{margarine,sugar,eggs,Swans,baking powder,salt,vanilla,butter,sour cream}"
551228,Never-Fail Pie Crust,"{5 c. flour,1 lb. lard,1 tsp. salt,1 egg,1 Tbsp. vinegar,cold water}","{""Mix together flour, lard and salt."",Beat egg in measuring cup. Work mixture very hard.,Vinegar keeps it from becoming hard. Makes 8 crusts.,Divide and separate with waxed paper.,Freezes very well.}",www.cookbooks.com/Recipe-Details.aspx?id=381449,Gathered,"{flour,lard,salt,egg,vinegar,cold water}"
551195,Beef Soup,"{1 lb. beef chuck,2 marrow bones,3 qt. cold water,2 tsp. paprika,4 large carrots,4 parsley sprigs,2 stalks celery,1 fresh tomato,1 onion,2 cabbage leaves,3 potatoes,8 peppercorns}","{Place meat and bones in a large pot with water.,Let come to a boil.,Skim.,""Prepare vegetables by washing, peeling and chopping. Add seasoning and vegetables, except potatoes, and simmer for about 2 1/2 hours."",Add whole potatoes and simmer for another hour.}",www.cookbooks.com/Recipe-Details.aspx?id=1039458,Gathered,"{beef chuck,bones,cold water,paprika,carrots,parsley sprigs,stalks celery,tomato,onion,cabbage,potatoes,peppercorns}"
551196,Creole Chicken And Rice Casserole,"{2 1/2 or 3 lb. cut up fryers,""1/2 c. onion, chopped"",""1/2 c. celery, chopped"",1/2 tsp. minced garlic,salt and pepper to taste,1 (10 oz.) can Ro-Tel,1/4 c. margarine,""1/2 c. bell pepper, chopped"",1 c. long grain rice,1/4 tsp. red pepper,2 c. chicken broth (reserved or canned)}","{Cook chicken in 1 quart of water until done. Cool and remove meat from bone.,Reserve broth.,Melt margarine in a large skillet.,""Saute onion, green pepper and celery."",""Add garlic, red pepper and salt and pepper to taste."",Combine Ro-Tel and broth with sauce mixture; simmer 10 minutes.,Add rice and chicken. Cover with tightly fitting lid and simmer for 1 hour.,Add broth as needed.}",www.cookbooks.com/Recipe-Details.aspx?id=183729,Gathered,"{fryers,onion,celery,garlic,salt,Ro-Tel,margarine,bell pepper,long grain rice,red pepper,chicken broth}"
551197,Chocolate Peanut Butter Fudge,"{1 lb. butter or margarine,1/2 c. cocoa,2 c. crunchy or smooth peanut butter,2 lb. powdered sugar,1 Tbsp. vanilla}","{Melt butter in large pan over medium heat.,""Stir in cocoa. Get it hot, but not boiling."",""Stir in the peanut butter, powdered sugar and vanilla."",Mix well.,Line cookie sheet with aluminum foil.,Grease foil with butter.,""Spread the fudge mixture into pan, pressing well to the edges."",Allow to cool until firm.,Cut into small pieces and store in airtight container.,This recipe is easy to divide into half.}",www.cookbooks.com/Recipe-Details.aspx?id=436176,Gathered,"{butter,cocoa,crunchy,powdered sugar,vanilla}"
551198,Grandma Klose'S Stuffed Peppers,"{1 lb. ground meat,2 green peppers,1/2 c. rice (uncooked),salt and pepper to taste,2 cans tomato paste,ketchup}","{""Mix meat, rice, salt and pepper and stuff into peppers."",Make meat balls out of the remaining mixture to drop into sauce.,Put tomato paste and 2 cans of water into a large kettle.,Add salt and pepper.,(Add 1 teaspoon sugar; optional.),Put in some ketchup.,Cover kettle and cook slowly at a low temperature for about 2 hours.}",www.cookbooks.com/Recipe-Details.aspx?id=451859,Gathered,"{ground meat,green peppers,rice,salt,tomato paste,ketchup}"
551199,Ginger Fruit Dip(Very Nice With Sliced Pears And Apples.),"{3 1/2 oz. instant vanilla pudding mix,1 1/2 c. milk,""6 oz. can frozen orange juice, thawed"",1/4 c. sour cream,1/8 to 1/4 tsp. powdered ginger}","{""In a small bowl combine pudding, milk and orange juice and beat 1 minute."",Stir in sour cream and ginger.,Refrigerate several hours or overnight to blend flavors.}",www.cookbooks.com/Recipe-Details.aspx?id=751966,Gathered,"{instant vanilla pudding mix,milk,orange juice,sour cream,powdered ginger}"
551200,Italian Green Beans,"{""2 cans green beans, drained"",1 stick margarine/butter,1 pkg. Good Seasons Italian dressing (dry)}","{""Place green beans, butter and dry dressing in casserole."",Stir occasionally until butter melts.}",www.cookbooks.com/Recipe-Details.aspx?id=332384,Gathered,"{green beans,margarine,Italian dressing}"
551201,Oatmeal Cake,"{1 1/4 c. boiling water,1 c. oatmeal,1 stick butter,1 c. white sugar,""2 eggs, beaten"",1 c. brown sugar,1 tsp. vanilla,1 1/2 c. sifted flour,1 tsp. cinnamon,1/2 tsp. salt,1 tsp. soda}","{""Pour water over oatmeal, let stand 20 minutes."",Mix ingredients together.,Pour into 9 x 13 x 2-inch pan.,Bake at 350u00b0 for 25 to 30 minutes.}",www.cookbooks.com/Recipe-Details.aspx?id=219775,Gathered,"{boiling water,oatmeal,butter,white sugar,eggs,brown sugar,vanilla,flour,cinnamon,salt,soda}"
551202,Cranberry Casserole,"{3 c. peeled and chopped apples,""2 c. fresh cranberries, rinsed"",1 1/4 c. sugar}","{""Mix apples, cranberries and sugar and put in buttered casserole dish.""}",www.cookbooks.com/Recipe-Details.aspx?id=72032,Gathered,"{apples,fresh cranberries,sugar}"
551203,Ice Cream,"{2 c. sugar,3 cans Milnot milk,1 c. whole milk,2 tsp. vanilla,4 to 6 eggs,strawberries}","{Beat eggs; add all ingredients and mix well.,Place in ice cream freezer until frozen.}",www.cookbooks.com/Recipe-Details.aspx?id=195821,Gathered,"{sugar,milk,milk,vanilla,eggs,strawberries}"
551204,Quick Brunswick Stew,"{""2 chicken breasts, boned and quartered"",2 Tbsp. oil,""1 c. cooked ham, cut in cubes"",""1 onion, chopped"",1 can stewed tomatoes,1 c. chicken broth,""1 (10 oz.) pkg. frozen lima beans, frozen corn, partially thawed"",""3 small potatoes, quartered"",1 tsp. salt,pepper to taste}","{Brown chicken in oil.,Add ham and onion; cook until lightly browned.,""Add tomatoes, broth, lima beans, corn and potatoes. Cover; cook over medium heat for 20 minutes."",Add salt and pepper.}",www.cookbooks.com/Recipe-Details.aspx?id=681945,Gathered,"{chicken breasts,oil,ham,onion,tomatoes,chicken broth,frozen lima beans,potatoes,salt,pepper}"
551217,Cheese And Bacon Canapes,"{""1 loaf thin-sliced bread, trim and cut in quarters"",""8 slices bacon, fried and crumbled"",""1 small onion, grated"",""1/2 lb. sharp cheese, grated"",""1 pkg. slivered almonds, brown in 1 Tbsp. butter"",1 c. mayo,2 tsp. Worcestershire sauce}","{Mix all ingredients (except bread) together.,Place about a teaspoon on each piece of bread.,""Freeze on cookie sheet, then transfer to freezer container or bake and enjoy immediately."",Bake at 400u00b0 for 10 minutes.,Makes 60 to 70.}",www.cookbooks.com/Recipe-Details.aspx?id=363094,Gathered,"{bread,bacon,onion,sharp cheese,slivered almonds,mayo,Worcestershire sauce}"
551206,Potato And Spinach Soup,"{3 c. canned vegetable broth or fat-free chicken broth,3 c. water,""3 bunches scallions, ends trimmed, washed and cut in 1-inch pieces (1 lb., about 18 scallions)"",""1 lb. potatoes, peeled and cut in 1-inch pieces"",""1 large rib celery, cut in 1-inch pieces"",""1 c. fresh spinach leaves, washed"",1 c. buttermilk,1 1/4 tsp. salt,""freshly ground pepper, scallion greens or chives (garnish)""}","{""Bring broth, water, scallions, potatoes and celery to a boil. In a 4-quart pot, reduce heat to low."",Cover and simmer 30 minutes until vegetables are tender.,""Puree in batches in blender or food processor until puree is smooth and bright green, adding some of the spinach to each batch."",Pour into a 3-quart container.,Stir in buttermilk and salt; cover and refrigerate at least 2 hours or up to 2 days.,Serves 6.}",www.cookbooks.com/Recipe-Details.aspx?id=1057024,Gathered,"{vegetable broth,water,scallions,potatoes,celery,fresh spinach leaves,buttermilk,salt,freshly ground pepper}"
551207,Sauerkraut Salad,"{1 (No. 2 1/2) can sauerkraut,1 c. chopped celery,1/2 c. chopped onion,1 medium size chopped green pepper,1 c. grated carrots,1/4 c. vinegar,1 c. sugar}","{Cook vinegar and sugar until syrupy and pour boiling hot over ingredients slowly.,Let stand 12 to 24 hours.,Mix occasionally. Good with beef or pork.}",www.cookbooks.com/Recipe-Details.aspx?id=1018841,Gathered,"{sauerkraut,celery,onion,green pepper,carrots,vinegar,sugar}"
551208,Fresh Apple Cake,"{1 3/4 c. white sugar,1 c. oil,1/2 tsp. salt,3 eggs,1 tsp. baking soda,1 tsp. cinnamon,2 c. flour,""4 apples, peeled and chopped"",1/2 c. nuts (pecans or walnuts)}","{Blend together first 7 ingredients.,""Add, by hand, the apples and nuts."",Bake in 9 x 13-inch pan at 350u00b0 until done.,Can be iced and cut into bars.}",www.cookbooks.com/Recipe-Details.aspx?id=837754,Gathered,"{white sugar,oil,salt,eggs,baking soda,cinnamon,flour,apples,nuts}"
551209,Angie'S Rice Dressing,"{1 can beef consomme soup,1 can French onion soup,1 stick oleo,""1 small can mushrooms, drained"",1 1/4 c. raw rice}","{Melt oleo in 13 x 9-inch pan.,""Add mushrooms, rice and soups. Mix well."",Cover and bake 40 to 45 minutes at 375u00b0.,""Uncover, stir and bake 10 minutes.""}",www.cookbooks.com/Recipe-Details.aspx?id=240621,Gathered,"{consomme soup,onion soup,oleo,mushrooms,rice}"
551210,String Bean Casserole,"{""1 can string beans, drained"",2 Tbsp. butter,""garlic, minced"",shredded cheese,""1 small jar pimentos, chopped"",""1/2 onion, chopped fine"",1 c. mushroom soup,bread crumbs}","{""Mix butter, onion, garlic and mushroom soup; simmer 15 minutes."",Pour the hot soup mixture over the beans and pimentos. Mix and pour into casserole.,Sprinkle cheese over top and top with bread crumbs.,Bake in a 350u00b0 oven until bread crumbs are brown or until the casserole bubbles on the side.}",www.cookbooks.com/Recipe-Details.aspx?id=513879,Gathered,"{string beans,butter,garlic,cheese,pimentos,onion,mushroom soup,bread crumbs}"
551211,Ivory Coast Chicken,"{3 lb. frying chicken,1 Tbsp. oil,""1 medium onion, diced"",""2 to 3 green onions, sliced"",""1 large tomato, diced"",1 bay leaf,1 Tbsp. tomato paste,3 1/2 c. weak chicken broth,1/2 c. peanut butter,1 tsp. salt,1 tsp. cayenne pepper}","{""Wipe chicken dry; brown in oil 5 to 10 minutes, turning 2 to 3 times."",""Add both kinds of onions, tomatoes and tomato paste; cook 1 minute."",Stir in chicken broth and bring to a boil.,Cover and boil 8 minutes.,Turn heat to low.,Mix peanut butter with warm water to make a paste and add this to the chicken.,""Add salt, cayenne pepper and bay leaf."",Simmer 30 minutes.,This is very spicy; adjust to taste.,Makes 4 to 6 servings.}",www.cookbooks.com/Recipe-Details.aspx?id=226918,Gathered,"{chicken,oil,onion,green onions,tomato,bay leaf,tomato paste,weak chicken broth,peanut butter,salt,cayenne pepper}"
551212,Peanut Butter Cornflake Cookies,"{3 c. sugar,1 1/2 c. dark Karo syrup,3 c. peanut butter,15 c. cornflakes}","{Combine sugar and syrup in saucepan.,Let mixture boil up once. Stir continually.,Remove from heat and add peanut butter and cornflakes.,""Mix well, working quickly."",Put mixture into greased 12 x 20 x 2 1/2-inch pan.,Press down and cut into squares while warm.}",www.cookbooks.com/Recipe-Details.aspx?id=240492,Gathered,"{sugar,syrup,peanut butter,cornflakes}"
551213,Spaghetti Sauce With Chicken,"{2 cans Italian stewed tomatoes,1 tsp. basil,1/2 tsp. pepper,1 Tbsp. brown sugar,1 tsp. olive oil}","{Blend stewed tomatoes a few seconds.,""Simmer with basil, pepper, brown sugar and olive oil a few minutes."",Fry boneless chicken breasts in olive oil and a pinch of garlic until done. Pour sauce over spaghetti and chicken.}",www.cookbooks.com/Recipe-Details.aspx?id=202885,Gathered,"{Italian stewed tomatoes,basil,pepper,brown sugar,olive oil}"
551214,Lemon Squares,"{1 c. flour,1/2 c. margarine or butter,1/4 c. powdered sugar,2 eggs,2 Tbsp. lemon juice,1 c. granulated sugar,2 Tbsp. flour,1/2 tsp. baking powder}","{""Blend flour, margarine and powdered sugar well and press into an 8-inch square pan."",Bake for 15 minutes at 350u00b0.,Blend other ingredients and spread on top of first mixture.,Bake at 350u00b0 for 25 minutes more.,Remove from oven and sprinkle with powdered sugar.}",www.cookbooks.com/Recipe-Details.aspx?id=898613,Gathered,"{flour,margarine,powdered sugar,eggs,lemon juice,sugar,flour,baking powder}"
551215,Sugar Cookies,"{2 c. white sugar,1 c. shortening,2 eggs,1 c. sour milk (1 tsp. vinegar to regular milk),1 tsp. salt,1 tsp. soda,1 tsp. baking powder,4 c. flour,1 tsp. vanilla}","{Cream shortening and sugar.,Add eggs.,Combine dry ingredients and add alternately with the sour milk.,Drop by teaspoonful onto ungreased cookie sheet.,Bake at 375u00b0 for 12 to 15 minutes.,Frost with Buttercream Frosting.}",www.cookbooks.com/Recipe-Details.aspx?id=566530,Gathered,"{white sugar,shortening,eggs,sour milk,salt,soda,baking powder,flour,vanilla}"
556051,Watergate Cake,"{1 box yellow cake mix,1 box pistachio pudding,1 c. salad oil,3 eggs,1 c. ginger ale}","{Beat ingredients and add 1/2 cup chopped nuts.,Bake at 350u00b0 for 35 to 40 minutes.}",www.cookbooks.com/Recipe-Details.aspx?id=375932,Gathered,"{yellow cake mix,pistachio pudding,salad oil,eggs,ginger ale}"
551218,Zucchini Nut Bread,"{3 large eggs,2 c. sugar,1 c. oil,""2 c. raw zucchini, peeled and grated"",2 tsp. vanilla,2 c. flour,1 tsp. salt,1 tsp. baking soda,1/4 tsp. baking powder,3 tsp. cinnamon,1 c. chopped nuts}","{Mix well first 5 ingredients.,Add remaining ingredients. Stir well to blend.,Bake at 350u00b0 for 1 hour. Makes 2 loaves.}",www.cookbooks.com/Recipe-Details.aspx?id=534776,Gathered,"{eggs,sugar,oil,zucchini,vanilla,flour,salt,baking soda,baking powder,cinnamon,nuts}"
551219,Green Bean Casserole,"{1 1/2 Tbsp. butter,1 Tbsp. flour,1/2 tsp. salt,1/4 tsp. black pepper,1/2 to 1 tsp. sugar,2 Tbsp. grated onion,1 (16 oz.) carton sour cream,1 (8 oz.) pkg. shredded Swiss cheese,""2 (16 oz.) cans whole green beans, drained"",buttered cracker crumbs}","{Melt butter in,""a medium saucepan; stir in flour, salt, pepper, sugar and"",onion.,""Add sour cream, stirring until well blended."",""Add Swiss cheese; cook, while stirring, until cheese is completely melted."",In,a,greased,3-quart,""casserole, add beans and cover"",with,cheese,sauce.,Sprinkle,with buttered cracker crumbs.,Bake,25 minutes at 350u00b0.,Serve while piping hot.}",www.cookbooks.com/Recipe-Details.aspx?id=769160,Gathered,"{butter,flour,salt,black pepper,sugar,onion,sour cream,Swiss cheese,green beans,buttered cracker crumbs}"
551220,Old-Fashioned Oatmeal Cookies,"{2 c. raisins,2/3 c. water,1 stick (1/2 c.) butter or margarine,2 eggs,1 c. sugar,1 tsp. baking soda,1/2 tsp. baking powder,2 tsp. cinnamon,1 tsp. nutmeg,1/2 tsp. cloves,1 tsp. vanilla,2 c. flour (generous),1 1/2 c. oatmeal (quick or old-fashioned),""1 c. chopped nuts, if desired""}","{Boil raisins in water for 3 minutes; set aside.,""Cream butter or margarine, eggs and sugar."",""Add baking soda, baking powder, spices and vanilla."",Blend thoroughly.}",www.cookbooks.com/Recipe-Details.aspx?id=362778,Gathered,"{raisins,water,butter,eggs,sugar,baking soda,baking powder,cinnamon,nutmeg,cloves,vanilla,flour,nuts}"
551221,Bran Muffins,"{2 c. boiling water,1 qt. buttermilk,3 c. sugar,""4 eggs, beaten"",1 c. soft shortening or oleo,4 c. All-Bran cereal,2 c. 100% Bran Flakes,5 c. flour,5 tsp. baking soda,1 tsp. salt}","{Use large bowl.,Pour boiling water over cereal to soften. Mix remaining ingredients as usual.,Bake at 350u00b0 until done. Makes 5 dozen.}",www.cookbooks.com/Recipe-Details.aspx?id=911046,Gathered,"{boiling water,buttermilk,sugar,eggs,shortening,All-Bran cereal,flour,baking soda,salt}"
