id,ingredients_normalized
57,"""['worcestershire sauce', 'old bay', 'mustard', 'mayonnaise', 'egg']"""
58,"""['cream cheese', 'mayonnaise', 'taco sauce', 'onion', 'green pepper', 'tomato', 'mozzarella cheese', 'cheddar cheese', 'black olive', 'tortilla chip']"""
59,"""['butter', 'peanut butter', 'graham cracker', 'coconut', 'nut', 'vanilla']"""
60,"""['orange candy', 'coconut', 'pecan', 'condensed milk', 'vanilla', 'orange']"""
61,"""['cake mix', 'egg', 'oleo', 'nut', 'cream cheese', 'sugar']"""
62,"""['pineapple', 'banana']"""
63,"""['mushroom soup', 'chicken soup', 'celery soup', 'chicken', 'butter', 'rice']"""
64,"""['cream cheese', 'condensed milk', 'pineapple', 'nut', 'lemon juice']"""
65,"""['jell-o', 'cream cheese', 'butter', 'peanut butter']"""
66,"""['peach', 'sugar', 'sour cream', 'lemon juice', 'vanilla']"""
67,"""['cool whip', 'strawberry', 'pie crust', 'sugar', 'cream cheese']"""
68,"""['margarine', 'graham cracker', 'sugar']"""
69,"""['flour', 'baking soda', 'salt', 'shortening', 'sugar', 'egg', 'cocoa', 'water', 'vanilla', 'milk']"""
70,"""['apple', 'raisin', 'brown sugar', 'granulated sugar', 'shortening', 'water', 'flour', 'soda', 'cinnamon', 'nutmeg', 'cloves', 'salt', 'nut']"""
71,"""['potato', 'onion', 'butter', 'chicken broth', 'sour cream', 'cheddar cheese', 'cornflakes']"""
72,"""['vanilla wafers', 'butter']"""
73,"""['sugar', 'corn syrup', 'water', 'egg white', 'vanilla', 'nut']"""
74,"""['apple', 'sugar', 'cinnamon', 'flour', 'salt', 'crumb', 'oleo']"""
75,"""['bisquick', 'sausage', 'cheddar cheese']"""
76,"""['chicken', 'cream of chicken soup', 'consomme', 'rice', 'salt', 'pepper']"""
77,"""['celery', 'onion', 'butter', 'beef', 'vinegar', 'lemon juice', 'brown sugar', 'mustard', 'salt', 'pepper', 'catsup', 'water']"""
78,"""['chicken broth', 'cornstarch', 'egg', 'onion']"""
79,"""['apple juice', 'allspice', 'clove', 'cinnamon', 'brown sugar']"""
80,"""['sesame seed', 'ginger', 'honey', 'soy sauce', 'chicken', 'cooking spray', 'onion']"""
81,"""['onion', 'mushroom', 'pepper', 'garlic', 'olive oil', 'bread', 'egg', 'milk']"""
82,"""['cranberry', 'sugar', 'apple', 'orange', 'gelatin', 'nut']"""
83,"""['rice', 'beef broth', 'soup', 'mushroom', 'margarine']"""
84,"""['cream cheese', 'margarine', 'sugar', 'cranberry sauce', 'pineapple', 'walnut', 'whipping cream']"""
85,"""['cheese', 'tomato', 'green chili pepper', 'onion', 'garlic', 'salt']"""
86,"""['flour', 'salt', 'soda', 'sugar', 'baking powder', 'egg', 'milk', 'oil', 'powdered sugar']"""
87,"""['sugar', 'cocoa', 'nut', 'margarine', 'vegana', 'vanilla']"""
88,"""['squash', 'onion', 'sour cream', 'carrot', 'chicken', 'mushroom', 'stuffing', 'butter', 'salt', 'pepper']"""
89,"""['cream cheese', 'cheddar cheese', 'pimento', 'green pepper', 'onion', 'lemon juice', 'worcestershire sauce', 'tabasco sauce', 'salt']"""
90,"""['apricot jello', 'sugar', 'cream cheese', 'apricot', 'pineapple', 'evaporated milk', 'water']"""
91,"""['flour', 'sugar', 'baking powder', 'salt', 'egg', 'margarine', 'butter', 'milk', 'flavoring']"""
92,"""['bread', 'margarine', 'brown sugar', 'pudding', 'milk', 'cinnamon']"""
93,"""['crescent roll', 'cheese', 'chicken', 'chicken broth', 'milk']"""
94,"""['rice', 'beef', 'onion', 'cheddar cheese']"""
95,"""['pork', 'pepper', 'catsup', 'brown sugar', 'salt', 'beef', 'oil']"""
96,"""['chicken', 'shortening', 'onion', 'carrot', 'water', 'chicken bouillon', 'brown sugar', 'cornstarch', 'ginger', 'catsup', 'vinegar', 'soy sauce', 'green pepper', 'pineapple']"""
97,"""['orange', 'coconut', 'pecan', 'cherry', 'sugar', 'orange juice']"""
98,"""['peanut butter', 'sugar', 'egg']"""
99,"""['cake mix', 'egg', 'margarine', 'milk', 'pecan', 'bits o brickle']"""
100,"""['flour', 'soda', 'salt', 'sugar', 'egg', 'margarine', 'buttermilk']"""
101,"""['butter', 'mushroom', 'garlic', 'zucchini', 'onion', 'ham', 'egg', 'ricotta', 'monterey jack', 'spinach', 'dill', 'salt', 'pepper']"""
102,"""['cabbage', 'butter', 'apple', 'brown sugar', 'vinegar']"""
103,"""['potato', 'bacon', 'sugar', 'flour', 'salt', 'pepper', 'cider vinegar', 'water', 'onion']"""
104,"""['butter', 'onion', 'beef', 'turkey', 'garlic', 'broth', 'tomato', 'potato', 'carrot', 'celery', 'green bean', 'red wine', 'basil', 'thyme', 'salt', 'pepper']"""
105,"""['tang', 'lemonade', 'sugar', 'clove', 'cinnamon', 'tea']"""
106,"""['manwich', 'hamburger', 'cheese', 'noodle']"""
107,"""['shortening', 'butter', 'sugar', 'egg', 'vanilla', 'flour', 'baking powder', 'salt']"""
108,"""['lime', 'orange', 'apple', 'sugar', 'wine', 'brandy', 'triple sec', 'soda']"""
109,"""['hamburger', 'onion', 'kidney bean', 'butter bean', 'baked bean', 'ketchup', 'green chili', 'mustard', 'beef bouillon', 'water', 'honey', 'bell pepper', 'worcestershire sauce', 'garlic']"""
110,"""['oat', 'brown sugar', 'salad oil', 'egg', 'salt', 'almond extract']"""
111,"""['noodle', 'mushroom soup', 'water', 'tuna', 'cashew', 'peanut', 'celery', 'onion', 'pea', 'soy sauce']"""
112,"""['cheddar cheese', 'cream cheese', 'ham', 'pimiento', 'parsley', 'worcestershire sauce', 'onion']"""
113,"""['cream cheese', 'olive', 'dried beef', 'onion', 'mushroom']"""
114,"""['shells', 'chicken', 'broccoli', 'cauliflower', 'carrot', 'onion', 'mushroom', 'salad dressing', 'milk', 'pepper']"""
115,"""['artichoke', 'water', 'zucchini', 'mushroom', 'onion', 'garlic', 'margarine', 'tomato', 'parmesan']"""
116,"""['beef', 'shortening', 'tomato', 'tomato sauce', 'salt', 'sugar', 'garlic', 'noodle', 'sour cream', 'cream cheese', 'onion', 'cheese']"""
117,"""['chicken', 'celery', 'almond', 'water chestnut', 'grape', 'salt', 'pepper', 'lemon juice', 'curry powder', 'mayonnaise']"""
118,"""['margarine', 'sugar', 'meal', 'vinegar', 'egg', 'salt', 'vanilla']"""
119,"""['vermicelli', 'pepper', 'zucchini', 'onion', 'italian dressing', 'salad supreme']"""
120,"""['cucumber', 'vinegar', 'salt', 'sugar', 'onion', 'dill']"""
121,"""['chicken', 'mushroom soup', 'chicken soup', 'tomato', 'cheese', 'spaghetti', 'steak seasoning']"""
122,"""['cream cheese', 'cheese', 'mayonnaise', 'worcestershire sauce', 'garlic salt', 'celery salt', 'onion salt', 'pimento', 'olive', 'parsley', 'chipped beef']"""
123,"""['pistachio', 'pineapple', 'marshmallow', 'cool whip']"""
124,"""['egg', 'milk', 'vegetable oil', 'flour', 'sugar', 'baking powder', 'salt', 'blueberry']"""
125,"""['flour', 'margarine', 'pecan', 'cream cheese', 'cool whip', 'powdered sugar', 'pudding', 'milk']"""
126,"""['water', 'butter', 'sugar', 'flour', 'egg']"""
127,"""['corn', 'egg', 'onion', 'cracker', 'salt']"""
128,"""['beef', 'onion', 'bean', 'lima bean', 'brown sugar', 'syrup', 'chili powder', 'ketchup', 'mustard', 'salt', 'pepper']"""
129,"""['angel food cake', 'apricot nectar', 'sugar', 'cornstarch', 'walnut']"""
130,"""['cake mix', 'cream cheese', 'honey', 'almond']"""
131,"""['rice', 'french onion soup', 'cream of chicken soup', 'mushroom', 'chicken']"""
132,"""['mayonnaise', 'parmesan', 'artichoke']"""
133,"""['butter', 'onion', 'beef stock', 'chicken stock', 'worcestershire sauce', 'bay leaf', 'garlic salt', 'black pepper', 'salt']"""
134,"""['apple', 'sugar', 'flour', 'cinnamon', 'salt', 'nutmeg']"""
135,"""['beef', 'ketchup', 'worcestershire sauce', 'mustard', 'sugar', 'salt', 'pepper']"""
136,"""['flour', 'sugar', 'egg', 'butter', 'lemon flavor', '7-up', 'food coloring']"""
137,"""['corned beef', 'cream cheese', 'mayonnaise', 'dill pickle', 'onion', 'horseradish', 'worcestershire sauce', 'mustard', 'pickle juice']"""
138,"""['sugar', 'milk', 'cocoa', 'flour', 'egg yolk', 'butter', 'vanilla', 'water']"""
139,"""['tater tot', 'beef', 'onion', 'bell pepper', 'mushroom soup', 'celery soup', 'chicken soup', 'cheese']"""
140,"""['sugar', 'cornstarch', 'water', 'gelatin', 'blackberry', 'pastry shell']"""
141,"""['cool whip', 'coconut', 'margarine', 'almond', 'milk', 'graham cracker', 'cream cheese', 'caramel']"""
142,"""['miracle whip', 'sour cream', 'onion', 'parsley', 'dill']"""
143,"""['onion', 'oil', 'broccoli', 'margarine', 'cornbread mix', 'egg', 'cottage cheese']"""
144,"""['onion', 'potato', 'pepper', 'celery', 'carrot', 'macaroni', 'turkey', 'beef', 'green bean', 'bay leaf', 'italian seasoning', 'pea', 'tomato']"""
145,"""['cocoa', 'oleo', 'flour', 'sugar', 'baking soda', 'salt', 'egg', 'vanilla', 'water', 'buttermilk']"""
146,"""['butter', 'graham cracker', 'milk', 'chocolate', 'coconut', 'nut']"""
147,"""['sugar', 'brown sugar', 'evaporated milk', 'butter', 'pecan', 'coconut']"""
148,"""['chocolate pudding mix', 'vanilla wafer', 'cool whip', 'pecan']"""
149,"""['sugar', 'butter', 'milk', 'chocolate', 'vanilla']"""
150,"""['gelatine', 'milk', 'egg', 'pumpkin', 'cinnamon', 'ginger', 'salt', 'pie shell']"""
151,"""['egg', 'sugar', 'nutmeg', 'orange juice', 'half and half', 'vanilla']"""
152,"""['chex', 'chocolate', 'powdered sugar', 'peanut butter', 'margarine', 'vanilla']"""
153,"""['hominy', 'olive', 'green chili', 'tamale', 'cheddar cheese', 'onion']"""
154,"""['refried bean', 'guacamole', 'sour cream', 'mayonnaise', 'taco seasoning', 'mozzarella cheese', 'cheddar cheese', 'green onion', 'tomato', 'olive']"""
155,"""['water', 'yeast', 'salt', 'egg', 'sugar']"""
156,"""['chicken', 'mushroom soup', 'broth', 'pea', 'carrot', 'onion', 'oleo', 'milk', 'baking powder', 'flour']"""
157,"""['chicken stock', 'artichoke', 'olive oil', 'onion', 'garlic', 'rice', 'oregano', 'salt', 'pepper', 'spinach', 'parmesan']"""
158,"""['olive oil', 'eggplant', 'onion', 'cauliflower', 'green pepper', 'parsley', 'mushroom', 'garlic', 'tomato', 'bay leaf', 'basil', 'oregano', 'thyme', 'marjoram', 'rosemary', 'salt', 'wine']"""
159,"""['cake mix', 'vegetable oil', 'pistachio pudding mix', 'ginger ale', 'egg', 'pecan', 'cool whip', 'milk']"""
160,"""['flour', 'walnut', 'egg', 'plum', 'sugar', 'allspice', 'oil']"""
161,"""['cranberry juice', 'ginger ale', 'jell-o', 'water', 'lemonade']"""
162,"""['sweet potato', 'butter', 'sugar', 'egg', 'nutmeg', 'milnot']"""
163,"""['sugar', 'crisco', 'egg', 'flour', 'milk', 'vanilla', 'butternut']"""
164,"""['flour', 'sugar', 'baking soda', 'cinnamon', 'salt', 'carrot', 'raisin', 'coconut', 'pecan', 'pineapple', 'vegetable oil', 'egg', 'vanilla']"""
165,"""['rice', 'mushroom', 'water', 'chicken', 'butter', 'crumb']"""
166,"""['pepper', 'onion', 'bacon', 'flour', 'salt', 'sugar', 'paprika', 'tomato', 'pea']"""
167,"""['egg', 'banana', 'butter', 'sugar', 'flour', 'soda', 'cream of tartar', 'nut']"""
168,"""['bisquick', 'corned beef', 'mustard', 'salt', 'pepper']"""
169,"""['hash brown', 'margarine', 'salt', 'pepper', 'onion', 'cream of mushroom soup', 'sour cream', 'cheddar cheese']"""
170,"""['flour', 'baking powder', 'sugar', 'salt', 'cream of tartar', 'butter', 'egg', 'milk']"""
171,"""['beef', 'spaghetti sauce', 'ricotta', 'noodle', 'mozzarella']"""
172,"""['potato', 'onion', 'celery', 'vinegar', 'bacon', 'salt', 'pepper', 'parsley']"""
173,"""['egg', 'milk', 'vanilla', 'butter', 'sugar', 'flour', 'coconut']"""
174,"""['beef', 'flour', 'salt', 'pepper']"""
175,"""['flour', 'baking powder', 'salt', 'sugar', 'egg', 'milk', 'butter']"""
176,"""['egg white', 'brown sugar', 'vanilla', 'pecan']"""
177,"""['beef', 'pizza sauce', 'mozzarella cheese', 'mushroom', 'biscuit mix', 'milk', 'egg']"""
178,"""['chocolate', 'milk', 'chocolate wafer', 'nut']"""
179,"""['broccoli', 'mushroom soup', 'mayonnaise', 'egg', 'onion', 'salt', 'pepper']"""
180,"""['flour', 'baking powder', 'almond extract', 'nut', 'cherry', 'sugar', 'salt', 'egg', 'date', 'raisin', 'chocolate']"""
181,"""['hamburger', 'oil', 'onion', 'celery', 'rice', 'mushroom soup', 'chicken soup', 'water', 'soy sauce', 'pepper', 'noodles']"""
182,"""['butter', 'sugar', 'water', 'almond', 'chocolate']"""
183,"""['pepper', 'v8', 'onion', 'garlic powder', 'beef', 'rice', 'egg', 'salt']"""
184,"""['egg', 'cake mix', 'water', 'lemon pudding', 'oil']"""
185,"""['butter', 'peanut butter', 'brown sugar', 'white sugar', 'egg', 'vanilla', 'flour', 'baking soda', 'salt', 'peanut butter cup']"""
186,"""['egg', 'milk', 'mustard', 'salt', 'onion powder', 'pepper', 'crouton', 'vegana']"""
187,"""['margarine', 'egg', 'cinnamon', 'cloves', 'salt', 'pecan', 'brown sugar', 'flour', 'baking soda', 'nutmeg', 'raisin', 'applesauce']"""
188,"""['flour', 'egg', 'water']"""
189,"""['margarine', 'evaporated milk', 'sugar', 'marshmallow', 'baking chocolate', 'milk chocolate', 'chocolate', 'vanilla', 'nut']"""
190,"""['egg', 'flour', 'salt', 'sugar', 'baking powder', 'chocolate chip', 'nut', 'cherry']"""
191,"""['butter', 'sugar', 'orange peel']"""
192,"""['flour', 'cocoa', 'sugar', 'egg', 'margarine', 'salt', 'vanilla', 'nut', 'ice cream']"""
193,"""['water', 'margarine', 'flour', 'egg', 'pudding', 'milk', 'cream cheese', 'cool whip', 'chocolate syrup']"""
194,"""['yogurt', 'cream', 'mandarin']"""
195,"""['cocoa', 'butter', 'powdered sugar', 'milk', 'vanilla', 'peanut butter']"""
196,"""['olive oil', 'garlic powder', 'bread', 'thyme', 'marjoram', 'paprika', 'parmesan']"""
197,"""['pineapple', 'mandarin orange', 'grape', 'marshmallow', 'strawberry', 'apple', 'lemon juice', 'orange juice', 'cornstarch', 'sugar', 'banana', 'pecan']"""
198,"""['strawberry', 'water', 'salt', 'sugar', 'cornstarch', 'cinnamon', 'butter']"""
199,"""['sugar', 'egg', 'milk', 'cornstarch', 'vanilla', 'cinnamon', 'pie shell']"""
200,"""['chicken', 'egg', 'salt', 'pepper', 'flour', 'water']"""
201,"""['beef', 'catsup', 'water', 'onion', 'cider vinegar', 'horseradish', 'mustard', 'salt', 'pepper']"""
202,"""['tapioca', 'water', 'sugar', 'orange juice', 'mandarin orange', 'peach', 'strawberry', 'banana', 'lime sherbet']"""
203,"""['corn meal', 'flour', 'sugar', 'salt', 'baking soda', 'egg', 'buttermilk', 'bacon fat']"""
204,"""['pork', 'sherry', 'mustard', 'thyme', 'soy sauce', 'garlic', 'ginger']"""
205,"""['pork', 'oil', 'garlic', 'chili', 'tomato', 'water', 'cornstarch', 'garlic salt']"""
206,"""['crisco', 'egg', 'yeast', 'flour', 'water', 'sugar']"""
207,"""['flour', 'baking soda', 'brown sugar', 'milk', 'vanilla', 'cornflakes', 'chocolate', 'salt', 'butter', 'granulated sugar', 'egg', 'vegetable oil', 'oats']"""
208,"""['lemon juice', 'honey', 'garlic', 'rosemary', 'water', 'onion', 'flax seed', 'parsley']"""
209,"""['fruit cocktail', 'banana', 'marshmallow', 'pecan', 'cool whip', 'pineapple']"""
210,"""['milk', 'cream', 'egg yolk', 'sugar', 'cornstarch', 'vanilla', 'butter', 'banana']"""
211,"""['olive oil', 'lemon juice', 'salt', 'pepper', 'sugar', 'blue cheese', 'onion']"""
212,"""['graham cracker', 'butter', 'cinnamon', 'sugar', 'cream cheese', 'milk', 'egg', 'lemon juice']"""
213,"""['sugar', 'oil', 'egg', 'flour', 'baking soda', 'baking powder', 'cinnamon', 'carrot', 'nut']"""
214,"""['lemonade concentrate', 'orange juice concentrate', 'water', 'grenadine syrup', 'ginger ale', 'lemon', 'cherry']"""
215,"""['veg-all', 'onion', 'water chestnut', 'cheddar', 'mayonnaise', 'ritz cracker', 'margarine']"""
216,"""['beef', 'crescent roll', 'onion', 'worcestershire sauce', 'lemon juice', 'paprika', 'garlic powder', 'salt', 'pepper', 'cheese', 'egg']"""
217,"""['sugar', 'flour', 'pumpkin', 'salt', 'cinnamon', 'nutmeg', 'soda', 'oil', 'egg', 'baking powder', 'walnut']"""
218,"""['cheddar cheese', 'butter', 'flour', 'salt', 'paprika', 'sugar']"""
219,"""['salsa', 'cheese', 'bean']"""
220,"""['flour', 'butter', 'pecan', 'sugar', 'whipped topping', 'cream cheese', 'powdered sugar', 'pudding', 'milk']"""
221,"""['frito', 'beef', 'onion', 'rotel', 'mushroom soup', 'cream of chicken soup', 'milk', 'cheese']"""
222,"""['flour', 'baking soda', 'salt', 'butter', 'sugar', 'egg', 'vanilla', 'sour cream', 'cinnamon', 'nut', 'apple']"""
223,"""['sugar', 'margarine', 'vegetable shortening', 'egg', 'cinnamon', 'flour', 'cream of tartar', 'baking soda', 'salt']"""
224,"""['spaghetti', 'cucumber', 'tomato', 'celery', 'green pepper', 'onion', 'italian salad dressing', 'salad dressing']"""
225,"""['meat', 'bread', 'onion', 'rice', 'chili powder', 'allspice', 'egg', 'salt', 'green pepper', 'tomato soup', 'water']"""
226,"""['corn muffin mix', 'margarine', 'egg', 'egg white', 'sour cream', 'broccoli', 'onion']"""
227,"""['onion', 'egg', 'water', 'vegetable oil', 'lemon juice', 'flour', 'baking powder', 'salt', 'cayenne pepper', 'oil']"""
228,"""['flour', 'mayonnaise', 'milk', 'salt']"""
229,"""['evaporated milk', 'egg', 'cracker', 'beef', 'onion', 'salt', 'mustard', 'ketchup', 'cheese']"""
230,"""['chocolate', 'condensed milk', 'vanilla', 'salt', 'nut']"""
231,"""['margarine', 'beef', 'onion soup mix', 'water', 'catsup', 'mustard', 'vinegar', 'pork and beans', 'kidney bean']"""
232,"""['brown sugar', 'flour', 'shortening', 'salt', 'egg', 'baking soda', 'baking powder', 'milk']"""
233,"""['biscuit mix', 'sugar', 'beer']"""
234,"""['onion', 'green pepper', 'butter', 'tomato', 'mushroom', 'olive', 'oregano', 'beef', 'spaghetti', 'cheddar', 'mushroom soup', 'water', 'parmesan']"""
235,"""['biscuit', 'apple', 'granulated sugar', 'brown sugar', 'water', 'apple pie spice', 'vanilla', 'butter']"""
236,"""['twinkie', 'strawberry jello', 'water', 'strawberry', 'vanilla pudding', 'cool whip']"""
237,"""['cake mix', 'egg', 'butter', 'cream cheese', 'powdered sugar', 'vanilla']"""
238,"""['corn', 'butter', 'flour', 'egg', 'sugar', 'milk', 'salt', 'pepper']"""
239,"""['egg', 'honey', 'sugar', 'coffee', 'baking powder', 'margarine', 'baking soda', 'flour', 'cinnamon']"""
240,"""['tomato paste', 'water', 'garlic', 'chili powder', 'beef', 'onion', 'cheese', 'corn tortilla']"""
241,"""['zucchini', 'tomato juice', 'oregano', 'parsley', 'garlic powder', 'bell pepper', 'onion', 'salt', 'chicken bouillon']"""
242,"""['sugar', 'flour', 'cheddar cheese', 'ritz cracker', 'pineapple', 'margarine']"""
243,"""['chicken', 'water', 'salt', 'potato', 'onion', 'lima', 'corn', 'tomato', 'pepper', 'butter']"""
244,"""['cream cheese', 'mayonnaise', 'lemon juice', 'onion', 'beef', 'olive', 'bell pepper', 'nut', 'cracker']"""
245,"""['carrot', 'onion', 'tomato soup', 'salt', 'pepper', 'sugar', 'salad oil', 'vinegar']"""
246,"""['egg', 'sugar', 'shortening', 'salt', 'baking powder', 'vanilla', 'flour', 'milk', 'blueberry']"""
247,"""['squash', 'onion', 'chicken broth', 'sour cream', 'stuffing', 'butter']"""
248,"""['cake mix', 'condensed milk', 'caramel sauce', 'whip', 'candy bar']"""
249,"""['flour', 'shortening', 'egg', 'water', 'vinegar', 'sugar', 'salt']"""
250,"""['butter', 'cocoa', 'sugar', 'egg', 'vanilla', 'flour', 'salt', 'coconut']"""
251,"""['mushroom', 'sausage', 'mozzarella', 'bread crumb']"""
252,"""['soda cracker', 'brown sugar', 'butter', 'chocolate']"""
253,"""['carrot', 'celery', 'onion', 'broccoli', 'mushroom', 'salad oil', 'water', 'salt', 'pepper', 'sugar']"""
254,"""['bacon', 'cheese', 'egg', 'milk', 'pepper']"""
255,"""['tang', 'sugar', 'tea', 'cinnamon', 'cloves', 'salt']"""
256,"""['cookie dough', 'cream cheese', 'marshmallow fluff', 'blueberry', 'peach', 'kiwi', 'strawberry']"""
257,"""['prosciutto', 'cream cheese', 'onion']"""
258,"""['butter', 'sugar', 'pineapple', 'bread', 'egg', 'milk', 'cinnamon', 'pecan']"""
259,"""['gelatin', 'water', 'cream', 'salt', 'vanilla', 'sugar']"""
260,"""['margarine', 'sugar', 'cocoa', 'egg', 'vanilla', 'flour', 'coconut', 'pecan']"""
261,"""['egg', 'margarine', 'bisquick', 'salt', 'pepper', 'cheese', 'bacon', 'onion', 'basil', 'marjoram', 'broccoli']"""
262,"""['peanut oil', 'onion', 'garlic', 'chicken broth', 'soy sauce', 'pepper', 'carrot', 'ginger', 'pork', 'bamboo shoot', 'water chestnut', 'pea', 'sesame oil', 'egg']"""
263,"""['raspberry', 'honey', 'strawberry', 'blueberry']"""
264,"""['graham cracker', 'condensed milk', 'lemon juice', 'cherry pie filling', 'cream cheese', 'vanilla']"""
265,"""['bacon', 'garlic', 'onion', 'pork', 'bean', 'lima', 'catsup', 'mustard', 'pepper', 'salt', 'brown sugar', 'vinegar']"""
266,"""['pumpkin', 'salad oil', 'sugar', 'flour', 'egg', 'salt', 'baking powder', 'baking soda', 'cinnamon', 'cloves', 'nutmeg']"""
267,"""['onion', 'green pepper', 'salad oil', 'rice', 'mushroom', 'soy sauce', 'egg']"""
268,"""['egg', 'sugar', 'flour', 'milk', 'oleo', 'vanilla']"""
